Section,Question,Testing,Response
1.4.4,Are systems storing cardholder data protected from direct access from untrusted networks?,"Review data-flow diagrams and network diagrams, and examine NSC configuration settings.",
1.4.5,Is the disclosure of internal IP addresses and routing information restricted to authorized parties only?,"Examine NSC configuration settings, review documentation, and interview responsible personnel.",
1.5,Risks to the CDE from computing devices that are able to connect to both untrusted networks and the CDE are mitigated.,,
1.5.1,"Are security controls implemented on devices that connect to both untrusted networks (e.g., Internet) and the Cardholder Data Environment (CDE)?","Examine security policies and configuration standards, and review device configuration settings.",
,,,
Section 2: Apply Secure Configurations to All System Components ,,,
2.1, Processes and mechanisms for applying secure configurations to all system components are defined and understood.,,
2.1.1,"Are security policies and operational procedures for Requirement 2 documented, maintained, and communicated to relevant personnel?",Examine documentation and interview personnel.,
2.1.2,"Are roles and responsibilities for activities in Requirement 2 documented, assigned, and understood?",Examine documentation and interview responsible personnel.,
2.2,System components are configured and managed securely.,,
2.2.1,Are configuration standards defined and implemented for all system components based on industry or vendor hardening guidelines?,"Examine system configuration standards, review hardening guidelines, check configuration settings, and interview personnel.",
2.2.2,"Are vendor default accounts and passwords changed, disabled, or removed before systems are deployed?","Examine configuration standards and vendor documentation, review configuration files, observe administrator login, and interview personnel.",
2.2.3,Are system components configured to ensure functions with different security levels are properly separated or secured?,Examine system configuration standards and review system configurations.,
2.2.4,"Are only necessary services, protocols, and functions enabled on system components?",Examine configuration standards and review system configurations.,
2.2.5,"If insecure services or protocols are used, is business justification documented and additional security controls implemented?","Review configuration standards, examine configuration settings, and interview personnel.",
2.2.6,Are system security parameters configured to prevent misuse of system components?,"Examine system configuration standards, review system configurations, and interview personnel.",
2.2.7,Is all non-console administrative access encrypted using strong cryptography?,"Examine system configuration standards, observe administrator login, review system configurations, check vendor documentation, and interview personnel.",
2.3, Wireless environments are configured and managed securely.,,
2.3.1,"Are default wireless settings (passwords, encryption keys, SNMP defaults, etc.) changed or secured for wireless networks connected to the CDE?","Examine policies and procedures, review vendor documentation, check wireless configuration settings, and interview personnel.",
2.3.2,Are wireless encryption keys changed when personnel leave or when a key is suspected or known to be compromised?,Examine key management documentation and interview personnel.,
,,,
Section 3 : Protect Stored Account Data ,,,
3.1,Processes and mechanisms for protecting stored account data are defined and understood.,,
3.1.1,"Are security policies and operational procedures for Requirement 3 documented, maintained, and communicated to relevant personnel?",Examine documentation and interview personnel.,
3.1.2,"Are roles and responsibilities for activities in Requirement 3 documented, assigned, and understood?",Examine documentation and interview responsible personnel.,
3.2,Storage of account data is kept to a minimum.,,
3.2.1,Is account data storage minimized through defined data retention and secure disposal policies and processes?,"Examine data retention and disposal policies and procedures, interview personnel, review files and system records where account data is stored, and observe mechanisms used to securely delete or render account data unrecoverable.",
3.3,Sensitive authentication data (SAD) is not stored after authorization.,,
3.3.1,Is sensitive authentication data (SAD) removed or rendered unrecoverable after the authorization process?,"Examine policies and procedures, review system configurations, and observe secure data deletion processes.",
3.3.1.1,Is full track data not stored after the authorization process?,Examine data sources and storage systems.,
3.3.1.2,Is the card verification code (CVV/CVC) not stored after the authorization process?,Examine data sources and storage systems.,
3.3.1.3,Are PINs and PIN blocks not stored after the authorization process?,Examine data sources and storage systems.,
3.3.2,"If sensitive authentication data is stored before authorization, is it encrypted using strong cryptography?","Examine data stores and system configurations, and review vendor documentation.",
3.4, Access to displays of full PAN and ability to copy PAN is restricted.,,
3.4.1,Is the Primary Account Number (PAN) masked when displayed so that only authorized personnel can view the full PAN?,"Examine policies and procedures, review system configurations, check the list of roles authorized to view full PAN, and examine PAN displays (screens, receipts, printouts).",
3.4.2,Do remote-access technologies prevent unauthorized copying or relocation of PAN data?,"Examine policies and evidence of technical controls, review remote-access configurations, observe processes, and interview personnel.",
3.5,Primary account number (PAN) is secured wherever it is stored.,,
3.5.1,"Is PAN rendered unreadable wherever it is stored using approved methods such as hashing, truncation, tokenization, or strong encryption?","Examine documentation for methods used to render PAN unreadable, review data repositories, check audit logs including payment application logs, and verify controls preventing reconstruction of PAN.",
3.5.1.1,Are cryptographic hashes used to protect PAN implemented with proper key management processes?,"Examine documentation on hashing methods, review key management procedures, check data repositories, and review audit logs.",
3.5.1.2,"If disk or partition-level encryption is used, is it applied only on removable media or combined with another PAN protection method?",Observe encryption processes and examine system configurations or vendor documentation.,
3.5.1.3,"If disk or partition encryption is used, are access controls and key management implemented securely?","Examine system configurations, observe authentication processes, review files containing authentication factors, and interview personnel.",
3.6, Cryptographic keys used to protect stored account data are secured.,,
3.6.1,Are procedures implemented to protect cryptographic keys used for protecting stored account data from disclosure and misuse?,Examine key management policies and procedures.,
3.6.1.2,"Are secret or private keys used to encrypt stored account data securely stored (e.g., encrypted with a key-encrypting key, stored in a secure cryptographic device, or split into key shares)?","Examine documented procedures, review system configurations, and check key storage locations including key-encrypting keys.",
3.6.1.3,Is access to cleartext cryptographic key components restricted to the minimum number of authorized custodians?,Examine user access lists.,
3.6.1.4,Are cryptographic keys stored in the minimum number of secure locations?,Examine key storage locations and observe processes.,
3.7,"Where cryptography is used to protect stored account data, key-management processes and procedures covering all aspects of the key lifecycle are defined and implemented.",,
3.7.1,Are strong cryptographic keys generated according to defined key-management policies?,Examine key-management policies and procedures and observe the key generation process.,
3.7.2,Are cryptographic keys securely distributed according to key-management policies?,Examine key-management policies and procedures and observe the key distribution process.,
3.7.3,Are cryptographic keys securely stored according to key-management policies?,Examine key-management policies and procedures and observe the key storage method.,
3.7.4,Are cryptographic keys changed at the end of their defined cryptoperiod according to key-management policies?,"Examine key-management policies and procedures, interview personnel, and observe key storage locations.",
3.7.5,"Are cryptographic keys retired, replaced, or destroyed when expired or compromised?",Examine key-management policies and procedures and interview personnel.,
3.7.6,Are manual cryptographic key-management operations performed using split knowledge and dual control?,"Examine key-management policies and procedures, interview personnel, and observe key-management processes.",
3.7.7,Are controls implemented to prevent unauthorized substitution of cryptographic keys?,"Examine key-management policies and procedures, interview personnel, and observe processes.",
3.7.8,Do cryptographic key custodians formally acknowledge their key-management responsibilities?,Examine key-management policies and procedures and review documentation of custodian acknowledgments.,
,,,
"Section 4 :  Protect Cardholder Data with Strong Cryptography During Transmission Over Open, Public ",,,
4.1," Processes and mechanisms for protecting cardholder data with strong cryptography during transmission over open, public networks are defined and documented.",,
4.1.1,"Are security policies and operational procedures for Requirement 4 documented, maintained, and communicated to relevant personnel?",Examine documentation and interview personnel.,
4.1.2,"Are roles and responsibilities for activities in Requirement 4 documented, assigned, and understood?",Examine documentation and interview responsible personnel.,
4.2,PAN is protected with strong cryptography during transmission.,,
4.2.1,"Is strong cryptography used to protect PAN during transmission over open, public networks?","Examine policies and procedures, interview personnel, review system configurations, inspect cardholder data transmissions, and examine encryption keys and certificates.",
4.2.1.1,Is an inventory maintained for trusted keys and certificates used to protect PAN during transmission?,Examine policies and procedures and review the inventory of trusted keys and certificates.,
4.2.1.2,Do wireless networks transmitting PAN or connected to the CDE use strong cryptography based on industry best practices?,Examine system configuration settings.,
4.2.2,"Is PAN encrypted using strong cryptography when transmitted through end-user messaging technologies (e.g., email, chat)?","Examine policies and procedures, review system configurations, and check vendor documentation.",
,,,
Section 5:  Protect All Systems and Networks from Malicious Software ,,,
5.1,Processes and mechanisms for protecting all systems and networks from malicious software are defined and understood. ,,
5.1.1,"Are security policies and operational procedures for Requirement 5 documented, updated, and communicated to relevant personnel?",Examine documentation and interview personnel.,
5.1.2,Are roles and responsibilities for malware protection activities documented and assigned?,Examine documentation and interview responsible personnel.,
5.2," Malicious software (malware) is prevented, or detected and addressed. ",,
5.2.1,Is an anti-malware solution deployed on all system components at risk of malware?,Examine system components and review periodic risk evaluations.,
5.2.2,"Does the anti-malware solution detect, block, or remove known types of malware?",Review vendor documentation and examine system configurations.,
5.2.3,Are system components without anti-malware periodically evaluated to confirm they are not at risk for malware?,"Examine policies and procedures, review the list of such components, compare with deployed systems, and interview personnel.",
5.2.3.1,Is the evaluation frequency for systems not at risk for malware defined through a targeted risk analysis?,"Examine targeted risk analysis documentation, review evaluation results, and interview personnel.",
5.3," Anti-malware mechanisms and processes are active, maintained, and monitored. ",,
5.3.1,Is the anti-malware solution kept up to date through automatic updates?,"Examine anti-malware configurations, system components, and update logs.",
5.3.2,Does the anti-malware solution perform periodic or real-time scans of systems?,"Examine anti-malware configurations, system components, logs, and scan results.",
5.3.2.1,"If periodic scans are used, is the scan frequency defined through targeted risk analysis?","Examine targeted risk analysis documentation, review scan results, and interview personnel.",
5.3.3,Are removable media automatically scanned or monitored for malware when connected to systems?,"Examine anti-malware configurations, review systems using removable media, and check logs and scan results.",
5.3.4,Are anti-malware audit logs enabled and retained according to logging requirements?,Examine anti-malware configuration settings.,
5.3.5,Are anti-malware mechanisms protected from being disabled or altered by unauthorized users?,"Examine anti-malware configurations, observe processes, and interview responsible personnel.",
5.4,Anti-phishing mechanisms protect users against phishing attacks.,,
5.4.1,Are processes and automated mechanisms implemented to detect and protect against phishing attacks?,Observe implemented processes and examine security mechanisms.,
,,,
Section 6: Develop and Maintain Secure Systems and Software ,,,
6.1,Processes and mechanisms for developing and maintaining secure systems and software are defined and understood.,,
6.1.1,"Are security policies and operational procedures for Requirement 6 documented, maintained, and communicated to relevant personnel?",Examine documentation and interview personnel.,
6.1.2,"Are roles and responsibilities for Requirement 6 activities documented, assigned, and understood?",Examine documentation and interview responsible personnel.,
6.2, Bespoke and custom software are developed securely. ,,
6.2.1,Is bespoke and custom software developed according to secure development standards and practices?,Examine documented software development procedures.,
6.2.2,Are software developers trained annually on secure coding and software security practices?,"Examine development procedures, review training records, and interview personnel.",
6.2.3,Is bespoke and custom software reviewed before release to identify and fix security vulnerabilities?,"Examine development procedures, interview responsible personnel, and review evidence of software changes.",
6.2.3.1,"If manual code reviews are used, are code changes reviewed by independent personnel and approved before release?","Examine development procedures, interview personnel, and review evidence of software changes.",
6.2.4,Are secure coding practices implemented to protect software from common attacks and vulnerabilities?,Examine documented procedures and interview software development personnel.,
6.3, Security vulnerabilities are identified and addressed.,,
6.3.1,Are security vulnerabilities identified using industry sources and assigned risk rankings?,"Examine policies and procedures, review documentation, interview personnel, and observe processes.",
6.3.2,"Is an inventory maintained for bespoke, custom, and third-party software to support vulnerability and patch management?",Examine documentation and interview personnel.,
6.3.3,Are security patches applied to system components within defined timeframes based on risk level?,"Examine policies and procedures, review system components and installed patches, and compare with vendor patch releases.",
6.4, Public-facing web applications are protected against attacks.,,
6.4.1,Are public-facing web applications protected through regular security assessments or automated protection mechanisms?,"Examine security assessment records, review documented processes, interview personnel, and review system configurations and logs.",
6.4.2,Is an automated solution implemented to detect and prevent web-based attacks on public-facing web applications?,"Examine system configuration settings, review audit logs, and interview responsible personnel.",
6.4.3,"Are payment page scripts authorized, integrity-checked, and maintained in an inventory with justification?","Examine policies, interview personnel, review inventory records, and examine system configurations.",
6.5,Changes to all system components are managed securely.,,
6.5.1,Are changes to system components managed through a formal change control process?,"Examine change control procedures, review recent system changes, and examine change documentation.",
6.5.2,"After significant changes, are PCI DSS controls verified and documentation updated?","Review documentation of significant changes, interview personnel, and observe affected systems and networks.",
6.5.3,Are pre-production environments separated from production environments with access controls?,"Examine policies, review network documentation and configurations, and examine access control settings.",
6.5.4,Are roles and responsibilities separated between production and pre-production environments?,"Examine policies, observe processes, and interview personnel.",
6.5.5,Is live PAN data prohibited in pre-production environments unless the environment is part of the CDE and properly secured?,"Examine policies, observe testing processes, interview personnel, and review test data.",
6.5.6,Are test data and test accounts removed before systems move to production?,"Examine policies, observe testing processes, interview personnel, and review system data and accounts.",
,,,
Section 7:  Restrict Access to System Components and Cardholder Data by Business Need to Know,,,
7.1,Processes and mechanisms for restricting access to system components and cardholder data by business need to know are defined and understood.,,
7.1.1,"Are security policies and procedures for access control documented, updated, and communicated to relevant personnel?",Examine documentation and interview personnel.,
7.1.2,Are roles and responsibilities for access control activities documented and assigned?,Examine documentation and interview responsible personnel.,
7.2,Access to system components and data is appropriately defined and assigned. ,,
7.2.1,Is an access control model defined based on job roles and the principle of least privilege?,"Examine policies and procedures, interview personnel, and review access control model settings.",
7.2.2,"Is user access, including privileged access, assigned based on job role and least privilege requirements?","Review policies and procedures, examine user access settings, and interview responsible personnel.",
7.2.3,Are user access privileges approved by authorized personnel before being granted?,"Review policies and procedures, examine user IDs and privileges, and verify documented approvals.",
7.2.4,Are user accounts and access privileges reviewed at least every six months to ensure appropriateness?,"Examine policies, interview personnel, and review records of periodic user access reviews.",
7.2.5,Are system and application accounts assigned and managed based on the least privileges necessary?,"Review policies, examine system and application account privileges, and interview responsible personnel.",
7.2.5.1,Are system and application account privileges periodically reviewed and validated by management?,"Review policies, examine targeted risk analysis, interview personnel, and review documented access review results.",
7.2.6,Is access to repositories storing cardholder data restricted to authorized users and administrators only?,"Review policies, interview personnel, and examine configuration settings controlling repository access.",
7.3,Access to system components and data is managed via an access control system(s).,,
7.3.1,Is an access control system implemented to restrict access to system components based on business need to know?,Review vendor documentation and examine configuration settings.,
7.3.2,Is the access control system configured to enforce permissions based on job roles and functions?,Review vendor documentation and examine configuration settings.,
7.3.3,Is the access control system configured with a default deny-all policy?,Review vendor documentation and examine configuration settings.,
,,,
Section 8:  Identify Users and Authenticate Access to System Components,,,
8.1,Processes and mechanisms for identifying users and authenticating access to system components are defined and understood.,,
8.1.1,"Are security policies and procedures for Requirement 8 documented, updated, and communicated to relevant personnel?",Examine documentation and interview personnel.,
8.1.2,Are roles and responsibilities for activities in Requirement 8 documented and assigned?,Examine documentation and interview responsible personnel.,
8.2,User identification and related accounts for users and administrators are strictly managed throughout an account’s lifecycle.,,
8.2.1,Are all users assigned a unique ID before accessing system components or cardholder data?,Interview responsible personnel and examine audit logs or other evidence.,
8.2.2,"Are shared or generic accounts restricted, approved, and monitored for accountability?","Review user account lists, examine authentication policies, and interview system administrators.",
8.2.4,"Are user account additions, changes, and deletions authorized and properly managed?",Examine documented approvals and review system settings.,
8.2.5,Is access for terminated users immediately revoked?,"Review terminated user records, examine user access lists, and interview personnel.",
8.2.6,Are inactive user accounts disabled or removed after 90 days of inactivity?,Examine user account activity and interview responsible personnel.,
8.2.7,Are third-party remote access accounts enabled only when required and monitored for activity?,"Interview personnel, review account management documentation, and examine monitoring evidence.",
8.2.8,Are user sessions automatically locked or re-authenticated after 15 minutes of inactivity?,Examine system configuration settings.,
8.3,Strong authentication for users and administrators is established and managed.,,
8.3.1,"Are users and administrators authenticated using approved authentication factors (e.g., password, token, biometric)?",Review authentication documentation and observe the authentication process.,
8.3.2,Are authentication factors protected using strong cryptography during storage and transmission?,"Review vendor documentation, examine system configurations, repositories, and data transmissions.",
8.3.3,Is user identity verified before changing authentication factors?,Review procedures and observe security personnel processes.,
8.3.4,Are invalid login attempts limited and accounts locked after multiple failed attempts?,Examine system configuration settings.,
8.3.5,Are passwords set uniquely and changed after first login or reset?,Review password management procedures and observe security personnel.,
8.3.6,Do passwords meet minimum complexity requirements (length and character types)?,Examine system configuration settings.,
8.3.7,Are users prevented from reusing their last passwords?,Review system configuration settings.,
8.3.8,Are authentication policies documented and communicated to users?,"Review authentication policies, interview personnel, and interview users.",
8.3.9,Are passwords changed periodically or monitored dynamically for security posture?,Inspect system configuration settings.,
8.3.10,Are authentication factors assigned to individual users and protected from sharing?,"Review authentication policies, interview personnel, and examine system or physical controls.",
8.4,Multi-factor authentication (MFA) is implemented to secure access into the CDE.,,
8.4.1,Is multi-factor authentication implemented for non-console administrative access to the CDE?,Review network/system configurations and observe administrator login.,
8.4.2,Is multi-factor authentication implemented for all access to the CDE?,"Review configurations, observe user logins, and examine supporting evidence.",
8.4.3,Is multi-factor authentication implemented for all remote access to networks that could access the CDE?,Review remote access configurations and observe remote user connections.,
8.5,Multi-factor authentication (MFA) systems are configured to prevent misuse.,,
8.5.1,Are MFA systems configured to prevent bypass and misuse?,"Review vendor documentation, examine MFA configurations, interview personnel, and observe login processes.",
8.6,Use of application and system accounts and associated authentication factors is strictly managed.,,
8.6.1,Are application and system accounts managed to prevent unauthorized interactive login?,Review system/application accounts and interview administrative personnel.,
8.6.2,Are passwords for application or system accounts not hard-coded in scripts or source code?,"Interview personnel and examine scripts, configuration files, and source code.",
8.6.3,"Are passwords for application and system accounts protected, periodically changed, and securely managed?","Review policies, examine risk analysis documentation, interview personnel, and review system configurations.",
,,,
Section 9:  Restrict Physical Access to Cardholder Data ,,,
9.1,Processes and mechanisms for restricting physical access to cardholder data are defined and understood.,,
9.1.1,"Are security policies and procedures for physical access controls documented, maintained, and communicated?",Examine documentation and interview personnel.,
9.1.2,Are roles and responsibilities for physical security activities documented and assigned?,Examine documentation and interview responsible personnel.,
9.2,Physical access controls manage entry into facilities and systems containing cardholder data.,,
9.2.1,Are physical entry controls implemented to restrict access to systems in the Cardholder Data Environment (CDE)?,Observe physical entry controls and interview responsible personnel.,
9.2.1.1,Is physical access to sensitive areas in the CDE monitored using video cameras or access control mechanisms?,"Observe access points, examine cameras or access controls, and interview personnel.",
9.2.2,Are controls implemented to restrict use of publicly accessible network jacks?,Interview responsible personnel and observe network jack locations.,
9.2.3,"Is physical access to wireless access points, networking equipment, and telecom lines restricted?",Interview responsible personnel and observe hardware locations.,
9.2.4,Are console systems in sensitive areas locked when not in use?,Observe administrator login attempts on consoles.,
9.3,Physical access for personnel and visitors is authorized and managed.,,
9.3.1,Are procedures implemented to authorize and manage personnel physical access to the CDE?,"Examine documented procedures, observe identification methods (ID badges), and observe processes.",
9.3.1.1,Is physical access to sensitive CDE areas granted based on job role and revoked upon termination?,"Observe personnel in sensitive areas, review access control lists, interview personnel, and observe processes.",
9.3.2,Are procedures implemented to authorize and manage visitor access to the CDE?,"Examine procedures, observe visitor processes, interview personnel, and observe visitor badges.",
9.3.3,Are visitor badges collected or deactivated when visitors leave the facility?,Observe visitors leaving and interview personnel.,
9.3.4,Is a visitor log maintained with visitor details and access records?,"Examine visitor logs, interview personnel, and review log storage locations.",
9.4,"Media with cardholder data is securely stored, accessed, distributed, and destroyed.",,
9.4.1,Is all media containing cardholder data physically secured?,Examine documentation.,
9.4.1.1,Are offline backups containing cardholder data stored securely?,Examine procedures and logs and interview personnel at storage locations.,
9.4.1.2,Is the security of backup storage locations reviewed at least annually?,"Examine procedures, logs, and interview responsible personnel.",
9.4.2,Is media containing cardholder data classified according to data sensitivity?,Examine procedures and review media logs or documentation.,
9.4.3,Is media containing cardholder data securely logged and tracked when sent outside the facility?,"Examine procedures, review records and tracking logs, and interview personnel.",
9.4.4,Is management approval required before media containing cardholder data is moved outside the facility?,"Examine procedures, review media tracking logs, and interview responsible personnel.",
9.4.5,Are inventory logs maintained for all electronic media containing cardholder data?,"Examine procedures, review inventory logs, and interview personnel.",
9.4.5.1,Are electronic media inventories reviewed at least annually?,"Examine procedures, review inventory logs, and interview personnel.",
9.4.6,Are hard-copy materials containing cardholder data securely destroyed when no longer needed?,"Examine destruction policies, observe destruction processes, interview personnel, and observe storage containers.",
9.4.7,Is electronic media containing cardholder data destroyed or rendered unrecoverable when no longer needed?,"Examine destruction policies, observe media destruction processes, and interview personnel.",
9.5,Point-of-interaction (POI) devices are protected from tampering and unauthorized substitution.,,
9.5.1,Are point-of-interaction (POI) devices protected from tampering and unauthorized substitution?,Examine policies and procedures.,
9.5.1.1,Is an up-to-date inventory of POI devices maintained?,"Examine device list, observe device locations, and interview personnel.",
9.5.1.2,Are POI devices periodically inspected to detect tampering or substitution?,"Examine procedures, observe inspection processes, and interview personnel.",
9.5.1.2.1,Is the frequency and method of POI inspections defined through risk analysis?,"Examine risk analysis documentation, review inspection results, and interview personnel.",
9.5.1.3,Are personnel trained to detect and report tampering or suspicious behavior involving POI devices?,Review training materials and interview personnel.,
,,,
Section 10:  Log and Monitor All Access to System Components and Cardholder Data,,,
10.1,Processes and mechanisms for logging and monitoring all access to system components and cardholder data are defined and documented.,,
10.1.1,"Are security policies and procedures for logging and monitoring documented, updated, and communicated to relevant personnel?",Examine documentation and interview personnel.,
10.1.2,Are roles and responsibilities for logging and monitoring activities documented and assigned?,Examine documentation and interview responsible personnel.,
10.2," Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.",,
10.2.1,Are audit logs enabled for all system components and cardholder data systems?,Interview system administrator and examine system configurations.,
10.2.1.1,Do audit logs capture all individual user access to cardholder data?,Examine audit log configurations and audit log data.,
10.2.1.2,Do audit logs capture all actions performed by users with administrative privileges?,Examine audit log configurations and audit log data.,
10.2.1.3,Do audit logs record all access to audit log files?,Examine audit log configurations and audit log data.,
10.2.1.4,Do audit logs record all invalid logical access attempts?,Examine audit log configurations and audit log data.,
10.2.1.5,Do audit logs capture changes to user accounts and authentication credentials?,Examine audit log configurations and audit log data.,
10.2.1.6,"Do audit logs record the initialization, starting, stopping, or pausing of audit logs?",Examine audit log configurations and audit log data.,
10.2.1.7,Do audit logs capture creation and deletion of system-level objects?,Examine audit log configurations and audit log data.,
10.2.2,"Do audit logs record required event details such as user ID, event type, date/time, success/failure, and source of event?",Interview personnel and examine audit log configurations and data.,
10.3,Audit logs are protected from destruction and unauthorized modifications.,,
10.3.1,Is read access to audit logs restricted to authorized personnel only?,Interview system administrators and examine system configurations and privileges.,
10.3.2,Are audit log files protected from unauthorized modification?,Examine system configurations and privileges and interview system administrators.,
10.3.3,Are audit logs regularly backed up to a secure centralized log server or secure storage?,Examine backup configurations or review log files.,
10.3.4,Is file integrity monitoring used to detect unauthorized changes to audit logs?,"Examine system settings, monitored files, and monitoring results.",
10.4,Audit logs are reviewed to identify anomalies or suspicious activity.,,
10.4.1,Are critical system and security logs reviewed daily to detect suspicious activity?,"Examine security policies, observe log review processes, and interview personnel.",
10.4.1.1,Are automated tools used to review audit logs?,Examine log review tools and interview personnel.,
10.4.2,Are logs of other system components reviewed periodically?,"Examine security policies, review log review records, and interview personnel.",
10.4.2.1,Is the frequency of periodic log reviews defined based on risk analysis?,Examine risk analysis documentation and log review records.,
10.4.3,Are anomalies or suspicious activities identified in log reviews investigated and addressed?,"Examine security procedures, observe processes, and interview personnel.",
10.5,Audit log history is retained and available for analysis.,,
10.5.1,Are audit logs retained for at least 12 months with at least three months immediately available for analysis?,"Examine retention policies, system configurations, audit logs, interview personnel, and observe processes.",
10.6, Time-synchronization mechanisms support consistent time settings across all systems. ,,
10.6.1,Are system clocks synchronized using time synchronization technology?,Examine system configuration settings.,
10.6.2,Are systems configured to use designated and secure time servers for consistent time synchronization?,Examine system configuration settings related to time synchronization.,
10.6.3,Are time synchronization settings protected and changes to time settings logged and monitored?,"Examine system configurations, synchronization settings, logs, and observe processes.",
10.7,"Failures of critical security control systems are detected, reported, and responded to promptly. ",,
10.7.2,Are failures of critical security control systems detected and alerted promptly?,"Examine documented processes, observe detection and alerting mechanisms, and interview personnel.",
10.7.3,"Are failures of critical security control systems investigated, documented, and remediated promptly?","Examine documented processes, interview personnel, and review records of security control failures.",
,,,
Section 11: Test Security of Systems and Networks Regularly,,,
11.1,Processes and mechanisms for regularly testing security of systems and networks are defined and understood.,,
11.1.1,"Are security policies and operational procedures for Requirement 11 documented, updated, and communicated to relevant personnel?",Examine documentation and interview personnel.,
11.1.2,"Are roles and responsibilities for security testing activities documented, assigned, and understood?",Examine documentation and interview responsible personnel.,
11.2,"Wireless access points are identified and monitored, and unauthorized wireless access points are addressed.",,
11.2.1,"Are wireless access points regularly identified, monitored, and unauthorized access points detected?","Examine policies and procedures, review wireless assessment documentation, check configuration settings, and interview personnel.",
11.2.2,Is an inventory of authorized wireless access points maintained with documented business justification?,Examine documentation.,
11.3,"External and internal vulnerabilities are regularly identified, prioritized, and addressed.",,
11.3.1,Are internal vulnerability scans performed at least every three months and vulnerabilities resolved?,"Review internal scan reports, examine scan tool configurations, and interview personnel.",
11.3.1.1,Are lower-risk vulnerabilities managed based on the organization’s risk analysis process?,"Examine risk analysis documentation, review scan reports, and interview personnel.",
11.3.1.2,Are authenticated internal vulnerability scans performed where applicable?,"Review scan tool configurations, scan reports, scanning accounts, and interview personnel.",
11.3.1.3,Are internal vulnerability scans performed after significant system or infrastructure changes?,"Examine change control documentation, review scan reports, and interview personnel.",
11.3.2,Are external vulnerability scans performed at least every three months by an approved scanning vendor (ASV)?,Examine ASV scan reports.,
11.3.2.1,Are external vulnerability scans performed after significant changes and vulnerabilities remediated?,"Review change control documentation, examine external scan and rescan reports, and interview personnel.",
11.4,"External and internal penetration testing is regularly performed, and exploitable vulnerabilities and security weaknesses are corrected.",,
11.4.1,Is a documented penetration testing methodology defined and implemented for systems and networks?,Examine documentation and interview personnel.,
11.4.2,Is internal penetration testing performed at least annually and after significant changes?,"Review scope of work, examine penetration test results, and interview personnel.",
11.4.3,Is external penetration testing performed at least annually and after significant changes?,"Review scope of work, examine penetration test results, and interview personnel.",
11.4.4,Are vulnerabilities identified during penetration testing remediated and verified through retesting?,Examine penetration testing results and remediation evidence.,
11.4.5,"If network segmentation is used, are segmentation controls tested through penetration testing at least annually?","Examine segmentation controls, review penetration testing methodology, check test results, and interview personnel.",
11.5,Network intrusions and unexpected file changes are detected and responded to.,,
11.5.1,Are intrusion detection or prevention systems implemented to monitor network traffic and alert personnel of potential intrusions?,"Review system configurations, examine network diagrams, check vendor documentation, and interview personnel.",
11.5.2,Is a change-detection mechanism implemented to detect unauthorized changes to critical system files?,"Examine system settings, review monitored files, and check monitoring results.",
11.6,Unauthorized changes on payment pages are detected and responded to.,,
