Section 7 - Contingency Planning,,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference,
,,,We do not have procedures or mechanisms to maintain access to ePHI in the event of an emergency.,"Document procedures to describe how your practice will maintain access to ePHI in the event of an emergency, system failure, or physical disaster. Your practice might not be able to recover ePHI and other health information during an emergency or when systems become unavailable if it does not backup ePHI by saving an exact copy to a magnetic disk/tape or a virtual storage (e.g., cloud environment).",0,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: PR.AA, PR.IR, GV.OC, PR.DS, PR.PS, PR.MA, RS.MA, RS.CO 
HPH CPG: 19 
HICP: N/A",
,,,I don't know.,"Document procedures to describe how your practice will maintain access to ePHI in the event of an emergency, system failure, or physical disaster. Your practice might not be able to recover ePHI and other health information during an emergency or when systems become unavailable if it does not backup ePHI by saving an exact copy to a magnetic disk/tape or a virtual storage (e.g., cloud environment).",0,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: PR.AA, PR.IR, GV.OC, PR.DS, PR.PS, PR.MA, RS.MA, RS.CO 
HPH CPG: 19 
HICP: N/A",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: PR.AA, PR.IR, GV.OC, PR.DS, PR.PS, PR.MA, RS.MA, RS.CO 
HPH CPG: 19 
HICP: N/A",
,Notes,,,,,,,,
14,"How would your practice maintain security of ePHI and crucial business processes before, during, and after an emergency?",,,,,,,,
,,,We have robust contingency plans which provide for alternate site or other means for continued access to ePHI. We test them periodically to ensure continuity of security processes in an emergency setting.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(a)(7)(ii)(C) 
NIST CSF: GV.OC, GV.RM, PR.PS, RS.MA, RS.CO, RS.AN, RC.CO, RC.RP 
HPH CPG: 7, 19 
HICP: N/A",
,,,We have contingency plans which will be used to maintain continuity of security processes during an emergency setting.,Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operating in emergency mode.,0,,Required,"HIPAA: §164.308(a)(7)(ii)(C) 
NIST CSF: GV.OC, GV.RM, PR.PS, RS.MA, RS.CO, RS.AN, RC.CO, RC.RP 
HPH CPG: 7, 19 
HICP: N/A",
,,,We have not implemented a means of ensuring continuity of security processes in an emergency setting.,Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operating in emergency mode.,0,,Required,"HIPAA: §164.308(a)(7)(ii)(C) 
NIST CSF: GV.OC, GV.RM, PR.PS, RS.MA, RS.CO, RS.AN, RC.CO, RC.RP 
HPH CPG: 7, 19 
HICP: N/A",
,,,I don't know.,Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operating in emergency mode.,0,,Required,"HIPAA: §164.308(a)(7)(ii)(C) 
NIST CSF: GV.OC, GV.RM, PR.PS, RS.MA, RS.CO, RS.AN, RC.CO, RC.RP 
HPH CPG: 7, 19 
HICP: N/A",
,,,Other.,Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operating in emergency mode.,0,,Required,"HIPAA: §164.308(a)(7)(ii)(C) 
NIST CSF: GV.OC, GV.RM, PR.PS, RS.MA, RS.CO, RS.AN, RC.CO, RC.RP 
HPH CPG: 7, 19 
HICP: N/A",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(7)(ii)(C) 
NIST CSF: GV.OC, GV.RM, PR.PS, RS.MA, RS.CO, RS.AN, RC.CO, RC.RP 
HPH CPG: 7, 19 
HICP: N/A",
,Notes,,,,,,,,
15,Do you have a plan for backing up and restoring critical data?,,,,,,,,
,,,"Yes, we have a plan for determining which data is critically needed, creating retrievable, exact copies of critical data and how to restore that data, including from alternate locations. We also test and revise the plan, as needed.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Define the standard practices for recovering IT/OT assets in the case of a disaster, including backup plans.",1,,Required & Addressable,"HIPAA: §164.308(a)(7)(ii)(A),§164.308(a)(7)(ii)(B), and §164.308(a)(7)(ii)(E) 
NIST CSF: GV.OC, ID.RA, GV.RM, RS.AN, PR.PS, RS.MA, RS.CO, RC.CO, RC.RP, PR.DS 
HPH CPG: 19, 20 
HICP: TV1 - Practice # 10",
,,,"Yes, we have a plan for creating retrievable, exact copies of critical data and how to restore that data. We do not have a process for testing and revising this plan.","Consider conducting periodic tests of backup recovery procedures. Define the standard practices for recovering IT/OT assets in the case of a disaster, including backup plans.",0,,Required & Addressable,"HIPAA: §164.308(a)(7)(ii)(A),§164.308(a)(7)(ii)(B), and §164.308(a)(7)(ii)(E) 
NIST CSF: GV.OC, ID.RA, GV.RM, RS.AN, PR.PS, RS.MA, RS.CO, RC.CO, RC.RP, PR.DS 
HPH CPG: 19, 20 
HICP: TV1 - Practice # 10",
,,,We do not have a data backup and restoration plan.,"You should establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information. Consider implementing, documenting, and testing a data backup and restoration plan. Define the standard practices for recovering IT/OT assets in the case of a disaster, including backup plans.",0,,Required & Addressable,"HIPAA: §164.308(a)(7)(ii)(A),§164.308(a)(7)(ii)(B), and §164.308(a)(7)(ii)(E) 
NIST CSF: GV.OC, ID.RA, GV.RM, RS.AN, PR.PS, RS.MA, RS.CO, RC.CO, RC.RP, PR.DS 
HPH CPG: 19, 20 
HICP: TV1 - Practice # 10",
,,,I don't know.,"You should establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information. Consider looking into whether your practice is implementing, documenting, and testing a data backup and restoration plan. Define the standard practices for recovering IT/OT assets in the case of a disaster, including backup plans.",0,,Required & Addressable,"HIPAA: §164.308(a)(7)(ii)(A),§164.308(a)(7)(ii)(B), and §164.308(a)(7)(ii)(E) 
NIST CSF: GV.OC, ID.RA, GV.RM, RS.AN, PR.PS, RS.MA, RS.CO, RC.CO, RC.RP, PR.DS 
HPH CPG: 19, 20 
HICP: TV1 - Practice # 10",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required & Addressable,"HIPAA: §164.308(a)(7)(ii)(A),§164.308(a)(7)(ii)(B), and §164.308(a)(7)(ii)(E) 
NIST CSF: GV.OC, ID.RA, GV.RM, RS.AN, PR.PS, RS.MA, RS.CO, RC.CO, RC.RP, PR.DS 
HPH CPG: 19, 20 
HICP: TV1 - Practice # 10",
,Notes,,,,,,,,
16,How is your practice's emergency procedure activated?,,,,,,,,
,,,"Upon identification or initiation of an emergency situation, emergency procedures are activated according to documented procedure, such as by formal communication from the security officer or other designated personnel.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: GV.OC, PR.PS, DE.AE, RS.MA, RS.CO 
HPH CPG: 19 
HICP: N/A",
,,,We do not have a procedure to ensure that the emergency procedure is activated consistently when emergency events are identified.,Details about how and when to activate should be documented in the emergency procedure. ,0,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: GV.OC, PR.PS, DE.AE, RS.MA, RS.CO 
HPH CPG: 19 
HICP: N/A",
,,,I don't know. ,Details about how and when to activate should be documented in the emergency procedure. ,0,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: GV.OC, PR.PS, DE.AE, RS.MA, RS.CO 
HPH CPG: 19 
HICP: N/A",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: GV.OC, PR.PS, DE.AE, RS.MA, RS.CO 
HPH CPG: 19 
HICP: N/A",
,Notes,,,,,,,,
17,How is access to your facility coordinated in the event of disasters or emergency situations?,,,,,,,,
,,,We have written policies and procedures outlining facility access for the restoration of lost data under the Disaster Recovery Plan and Emergency Mode Operations Plan in the event of an emergency. Members of the workforce who need access to the facility in an emergency have been identified. Roles and responsibilities have been defined. A backup plan for accessing the facility and critical data is in place. ,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Addressable,"HIPAA: §164.310(a)(2)(i) 
NIST CSF: GV.OC, GV.RM, PR.AA, PR.IR, PR.PS, RS.MA, PR.DS, RS.CO, RC.RP 
HPH CPG: 19 
HICP: N/A",
,,,"We have written policies and procedures outlining facility access for the restoration of lost data under the Disaster Recovery Plan and Emergency Mode Operations Plan in the event of an emergency, but it does not include all of the variables described above.",Implement written policies and procedures outlining facility access for the restoration of lost data under the Disaster Recovery Plan and Emergency Mode Operations Plan in the event of an emergency. Ensure members of the workforce who need access to the facility in an emergency have been identified. Define workforce member roles and responsibilities. Ensure that a backup plan for accessing the facility and critical data is in place. ,0,,Addressable,"HIPAA: §164.310(a)(2)(i) 
NIST CSF: GV.OC, GV.RM, PR.AA, PR.IR, PR.PS, RS.MA, PR.DS, RS.CO, RC.RP 
HPH CPG: 19 
HICP: N/A",
,,,We do not have a written plan for accessing the facility in the event of disasters or emergency situations.,Implement written policies and procedures outlining facility access for the restoration of lost data under the Disaster Recovery Plan and Emergency Mode Operations Plan in the event of an emergency. Ensure members of the workforce who need access to the facility in an emergency have been identified. Define workforce member roles and responsibilities. Ensure that a backup plan for accessing the facility and critical data is in place. ,0,,Addressable,"HIPAA: §164.310(a)(2)(i) 
NIST CSF: GV.OC, GV.RM, PR.AA, PR.IR, PR.PS, RS.MA, PR.DS, RS.CO, RC.RP 
HPH CPG: 19 
HICP: N/A",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.310(a)(2)(i) 
NIST CSF: GV.OC, GV.RM, PR.AA, PR.IR, PR.PS, RS.MA, PR.DS, RS.CO, RC.RP 
HPH CPG: 19 
HICP: N/A",
,Notes,,,,,,,,
18,How is your emergency procedure terminated after the emergency circumstance is over?,,,,,,,,
,,,"Upon the conclusion of the emergency situation, normal operations are resumed according to documented procedure, such as by formal communication from the security officer or other designated personnel.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 19 
HICP: N/A",
,,,We do not have a procedure to ensure that normal operations are resumed after the conclusion of an emergency.,Details about how and when to terminate should be documented in the emergency procedure.,0,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 19 
HICP: N/A",
,,,I don't know. ,Details about how and when to terminate should be documented in the emergency procedure.,0,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 19 
HICP: N/A",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(a)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 19 
HICP: N/A",
,Notes,,,,,,,,
19,"Do you formally evaluate the effectiveness of your security safeguards, including physical safeguards?",,,,,,,,
,,,Yes.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(a)(8) 
NIST CSF: ID.AM, GV.OC, ID.RA, PR.PS, DE.AE, DE.CM, RS.MI, ID.IM, RC.MI 
HPH CPG: 19 
HICP: N/A",
,,,No.,Consider conducting technical and non-technical evaluations of security policies and procedures. This should be done periodically and in response to changes in the security environment.,0,,Required,"HIPAA: §164.308(a)(8) 
NIST CSF: ID.AM, GV.OC, ID.RA, PR.PS, DE.AE, DE.CM, RS.MI, ID.IM, RC.MI 
HPH CPG: 19 
HICP: N/A",
,,,I don't know. ,Consider conducting technical and non-technical evaluations of security policies and procedures. This should be done periodically and in response to changes in the security environment.,0,,Required,"HIPAA: §164.308(a)(8) 
NIST CSF: ID.AM, GV.OC, ID.RA, PR.PS, DE.AE, DE.CM, RS.MI, ID.IM, RC.MI 
HPH CPG: 19 
HICP: N/A",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(8) 
NIST CSF: ID.AM, GV.OC, ID.RA, PR.PS, DE.AE, DE.CM, RS.MI, ID.IM, RC.MI 
HPH CPG: 19 
HICP: N/A",
,Notes,,,,,,,,
20,"How do you evaluate the effectiveness of your security safeguards, including physical safeguards?",,,,,,,,
,,,"We have procedures in place to evaluate the effectiveness of our security policies and procedures, physical safeguards, and technical safeguards. Our evaluation is conducted periodically and in response to changes in the security environment.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(a)(8) 
NIST CSF: ID.AM, GV.OC, ID.RA, PR.PS, DE.AE, DE.CM, RS.MI, ID.IM, RC.MI 
HPH CPG: 19 
HICP: N/A",
,,,"We have procedures in place to evaluate the effectiveness of our security policies and procedures, physical safeguards, and technical safeguards but we do not update them with any set frequency.",Consider conducting technical and non-technical evaluations of security policies and procedures periodically and in response to changes in the security environment.,0,,Required,"HIPAA: §164.308(a)(8) 
NIST CSF: ID.AM, GV.OC, ID.RA, PR.PS, DE.AE, DE.CM, RS.MI, ID.IM, RC.MI 
HPH CPG: 19 
HICP: N/A",
,,,We do not have a formal process to evaluate the effectiveness of our security safeguards.,Consider conducting technical and non-technical evaluations of security policies and procedures. This should be done periodically and in response to changes in the security environment.,0,,Required,"HIPAA: §164.308(a)(8) 
NIST CSF: ID.AM, GV.OC, ID.RA, PR.PS, DE.AE, DE.CM, RS.MI, ID.IM, RC.MI 
HPH CPG: 19 
HICP: N/A",
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(8) 
NIST CSF: ID.AM, GV.OC, ID.RA, PR.PS, DE.AE, DE.CM, RS.MI, ID.IM, RC.MI 
HPH CPG: 19 
HICP: N/A",
,Notes,,,,,,,,
,,,,,,,,,
Threats & Vulnerabilities,,,,,Likelihood,Likelihood,Impact,Risk Score,
1,Failure to adopt a documented business contingency plan,,,,,,,,
,,,Corrective enforcement outcomes from regulatory agencies,,,,,,
,,,"Failure to define purpose, scope, roles/responsibilities, and/or management commitment",,,,,,
,,,Inability to demonstrate recovery objectives and restoration priorities,,,,,,
,,,Litigation due to not meeting minimum security requirements,,,,,,
,,,Unguided procedures during downtime or unexpected event,,,,,,
2,Failure to update or review contingency plan procedures,,,,,,,,
,,,"Information disclosure or theft (ePHI, proprietary, intellectual, or confidential)",,,,,,
,,,Unauthorized access to or modification of ePHI/sensitive information,,,,,,
,,,Out-of-date documentation not reflecting the most recent expected procedures,,,,,,
,,,Inconsistent or inadequate contingency response due to uncertainty,,,,,,
,,,Unguided procedures during downtime or unexpected event,,,,,,
3,Lack of consideration to reasonably anticipated environmental threats,,,,,,,,
,,,Damage to public reputation due to information breach/loss,,,,,,
,,,Physical damage to facility,,,,,,
,,,Financial loss from increased downtime of information systems,,,,,,
,,,Inability to recovery from system failure,,,,,,
,,,Increased recovery time during unexpected downtime of information systems,,,,,,
,,,"Injury or death of personnel (employee, patient, guest)",,,,,,
,,,Loss of productivity,,,,,,
,,,Overheating of network devices due to increased ambient temperature,,,,,,
,,,Physical access granted to unauthorized persons or entities,,,,,,
,,,Power outage affecting the availability of critical security and information systems,,,,,,
4,Infrequent training provided to staff and personal regarding business contingency procedures,,,,,,,,
,,,Damage to public reputation due to information breach/loss,,,,,,
,,,Financial loss from increased downtime of information systems,,,,,,
,,,Inability to recovery from system failure,,,,,,
,,,Increased recovery time during unexpected downtime of information systems,,,,,,
,,,Loss of productivity,,,,,,
5,Inadequate written procedures for security incident tracking and monitoring,,,,,,,,
,,,Adversaries maintain exploitation capability due to security incidents being undetected or undocumented ,,,,,,
,,,Failure to adopt remediation plan based on identified security incidents,,,,,,
,,,"Failure to define purpose, scope, roles, responsibilities, and or management commitment pertaining to the tracking of security incidents",,,,,,
6,Lack of access to ePHI during emergency events,,,,,,,,
,,,Damage to public reputation,,,,,,
,,,Lost revenue from canceled appointments,,,,,,
