Section 1 - SRA Basics,,,,,,,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference,,,,,,
,,,We review the current regulations and do our best to meet them. ,"Security risk analysis is a foundational component of identifying and assessing ePHI risks and vulnerabilities in your practice. An accurate and thorough security risk assessment should be performed, reviewed, and updated periodically or in response to operational changes, security incidents, or the occurrence of a significant event. Additionally, consistently monitoring changes or updates to cybersecurity guidance related to ePHI protection will ensure you are aware of current requirements. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",,§164.308(a)(1)(ii)(B),,0,,
,,,We try to follow the best practices for securing our ePHI but we are not sure we're meeting all the HIPAA security regulations.,"Security risk analysis is a foundational component of identifying and assessing ePHI risks and vulnerabilities in your practice. An accurate and thorough security risk assessment should be performed, reviewed, and updated periodically or in response to operational changes, security incidents, or the occurrence of a significant event. Additionally, consistently monitoring changes or updates to cybersecurity guidance related to ePHI protection will ensure you are aware of current requirements. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",,,,,,
,,,I don't know. ,"Security risk analysis is a foundational component of identifying and assessing ePHI risks and vulnerabilities in your practice. An accurate and thorough security risk assessment should be performed, reviewed, and updated periodically or in response to operational changes, security incidents, or the occurrence of a significant event. Additionally, consistently monitoring changes or updates to cybersecurity guidance related to ePHI protection will ensure you are aware of current requirements. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",,§164.308(a)(1)(ii)(A),7,1,,
,,,Other.,"Security risk analysis is a foundational component of identifying and assessing ePHI risks and vulnerabilities in your practice. An accurate and thorough security risk assessment should be performed, reviewed, and updated periodically or in response to operational changes, security incidents, or the occurrence of a significant event. Additionally, consistently monitoring changes or updates to cybersecurity guidance related to ePHI protection will ensure you are aware of current requirements. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",,§164.308(a)(1)(ii)(A),7,0,,
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",,§164.308(a)(1)(ii)(A),7,0,,
,Notes,,,,,,,,,§164.308(a)(1)(ii)(A),7,0,,
6,What do you include in your SRA documentation?,,,,,,,,,§164.308(a)(1)(ii)(A),7,0,,
,,,"Our SRA documentation identifies and assesses potential threats and vulnerabilities (both technical and non-technical) to the confidentiality, integrity, and availability of all ePHI we create, receive, maintain, or transmit. Impact and likelihood ratings are assigned and risks determined. This allows us to understand severity. We develop corrective action plans as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe.","This is the most effective option to protect the confidentiality, integrity, and availability of ePHI. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data. IT/OT asset management is critical to ensuring that the appropriate cyber hygiene controls are maintained across all assets in your organization, including medical device management.",1,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",,§164.308(a)(1)(ii)(A),7,0,,
,,,"Our SRA documentation identifies and assesses potential threats and vulnerabilities (both technical and non-technical) to the confidentiality, integrity, and availability of all ePHI we create, receive, maintain, or transmit. Impact and likelihood ratings are assigned and risk ratings determined. This allows us to understand severity. We do not include corrective action plans. ","Corrective action plans should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data. IT/OT asset management is critical to ensuring that the appropriate cyber hygiene controls are maintained across all assets in your organization, including medical device management.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",,,,,,
,,,"Our SRA documentation identifies and assesses potential threats and vulnerabilities but does not include impact and likelihood ratings, severity ratings, or corrective action plans. ","Threats and vulnerabilities should be documented and given impact and likelihood ratings. This will help determine severity and is the best way to safeguard and protect ePHI from potential threats and vulnerabilities. Corrective action plans should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data. IT/OT asset management is critical to ensuring that the appropriate cyber hygiene controls are maintained across all assets in your organization, including medical device management.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",,§164.308(a)(1)(ii)(B),8,1,,
,,,I don't know. ,"Threats and vulnerabilities should be documented and given impact and likelihood ratings. This will help determine severity and is the best way to safeguard and protect ePHI from potential threats and vulnerabilities. Corrective action plans should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data. IT/OT asset management is critical to ensuring that the appropriate cyber hygiene controls are maintained across all assets in your organization, including medical device management.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",,§164.308(a)(1)(ii)(B),8,0,,
,,,Other. ,"Threats and vulnerabilities should be documented and given impact and likelihood ratings. This will help determine severity and is the best way to safeguard and protect ePHI from potential threats and vulnerabilities. Corrective action plans should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Establish a data classification policy that categorizes data as, for example, Sensitive, Internal Use, or Public Use. Identify the types of records relevant to each category. Organizational policies should address all user interactions with sensitive data and reinforce the consequences of lost or compromised data. IT/OT asset management is critical to ensuring that the appropriate cyber hygiene controls are maintained across all assets in your organization, including medical device management.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",,§164.308(a)(1)(ii)(B),8,0,,
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1, 11 
HICP: TV1 - Practice # 4, 5, 9",,§164.308(a)(1)(ii)(B),8,0,,
,Notes,,,,,,,,,§164.308(a)(1)(ii)(B),8,0,,
7,Do you respond to the threats and vulnerabilities identified in your SRA?,,,,,,,,,,,,,
,,,"Yes, we respond. We also maintain supporting documentation of our response.","This is the most effective option. Threats and vulnerabilities should be documented within your SRA and given impact and likelihood ratings to determine severity. Safeguards protecting ePHI from these threats and vulnerabilities should be evaluated for effectiveness. Corrective action plans with plan of action milestones should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Risks should be formally deemed ""accepted"" only when appropriate. Conduct routine patching of security flaws in servers, applications (including web applications), and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic.",1,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1, 16 
HICP: TV1 - Practice # 7",,§164.308(a)(1)(ii)(B),9,1,,
,,,"Yes, we respond, but we do not maintain documentation of our response.","Threats and vulnerabilities should be documented within your SRA and given impact and likelihood ratings to determine severity. Safeguards protecting ePHI from these threats and vulnerabilities should be evaluated for effectiveness. Corrective action plans with plan of action milestones should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Risks should be formally deemed ""accepted"" only when appropriate. Conduct routine patching of security flaws in servers, applications (including web applications), and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1, 16 
HICP: TV1 - Practice # 7",,§164.308(a)(1)(ii)(B),,0,,
,,,"No, we don't have a process to respond to identified threats and vulnerabilities.","Threats and vulnerabilities should be documented within your SRA and given impact and likelihood ratings to determine severity. Safeguards protecting ePHI from these threats and vulnerabilities should be evaluated for effectiveness. Corrective action plans with plan of action milestones should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Risks should be formally deemed ""accepted"" only when appropriate. Conduct routine patching of security flaws in servers, applications (including web applications), and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1, 16 
HICP: TV1 - Practice # 7",,§164.308(a)(1)(ii)(B),,0,,
,,,I don't know. ,"Threats and vulnerabilities should be documented within your SRA and given impact and likelihood ratings to determine severity. Safeguards protecting ePHI from these threats and vulnerabilities should be evaluated for effectiveness. Corrective action plans with plan of action milestones should be developed as needed to mitigate identified security deficiencies according to which threats and vulnerabilities are most severe. Risks should be formally deemed ""accepted"" only when appropriate. Conduct routine patching of security flaws in servers, applications (including web applications), and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1, 16 
HICP: TV1 - Practice # 7",,§164.308(a)(1)(ii)(B),,0,,
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1, 16 
HICP: TV1 - Practice # 7",,,,,,
,Notes,,,,,,,,,§164.308(a)(1)(ii)(B),10,1,,
8,Do you identify specific personnel to respond to and mitigate the threats and vulnerabilities found in your SRA?,,,,,,,,,§164.308(a)(1)(ii)(B),,0,,
,,,Yes.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Use internal or external experts to deploy security controls.",1,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, GV.RR, GV.PO, GV.OV, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 7",,§164.308(a)(1)(ii)(B),,0,,
,,,No.,Consider identifying specific workforce members to respond to and mitigate all threats and vulnerabilities identified in your SRA. Use internal or external experts to deploy security controls.,0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, GV.RR, GV.PO, GV.OV, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 7",,§164.308(a)(1)(ii)(B),,0,,
,,,I don't know.,Consider identifying specific workforce members to respond to and mitigate all threats and vulnerabilities identified in your SRA. Use internal or external experts to deploy security controls.,0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, GV.RR, GV.PO, GV.OV, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 7",,,,,,
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, GV.RR, GV.PO, GV.OV, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 7",,§164.308(a)(1)(ii)(B),,1,,
,Notes,,,,,,,,,§164.308(a)(1)(ii)(B),,0,,
9,Do you communicate SRA results to personnel involved in responding to threats or vulnerabilities?,,,,,,,,,§164.308(a)(1)(ii)(B),,0,,
,,,Yes. We have established policies and procedures for communicating SRA findings to staff to educate them about threats and vulnerabilities. ,"This is the most effective option. You may not be able to implement effective safeguards to protect ePHI if you do not document and share the results of your SRA with the staff responsible for making risk management decisions, developing risk-related policies, and implementing risk mitigation safeguards for ePHI. Communicate to workforce members who review and sign off after reading policies over a specified timeframe. The goal is to establish a standard practice for workforce members to review applicable policies and attest to the review, and for the organization to monitor compliance with this standard.",1,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 10",,§164.308(a)(1)(ii)(B),,0,,
,,,No. We do not regularly communicate SRA results to staff. ,"You may not be able to implement effective safeguards to protect ePHI if you do not document and share the results of your SRA with the staff responsible for making risk management decisions, developing risk-related policies, and implementing risk mitigation safeguards for ePHI. Communicate to workforce members who review and sign off after reading policies over a specified timeframe. The goal is to establish a standard practice for workforce members to review applicable policies and attest to the review, and for the organization to monitor compliance with this standard.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 10",,,,,,
,,,I don't know. ,"You may not be able to implement effective safeguards to protect ePHI if you do not document and share the results of your SRA with the staff responsible for making risk management decisions, developing risk-related policies, and implementing risk mitigation safeguards for ePHI. Communicate to workforce members who review and sign off after reading policies over a specified timeframe. The goal is to establish a standard practice for workforce members to review applicable policies and attest to the review, and for the organization to monitor compliance with this standard.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 10",,,,,,
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI, PR.PS 
HPH CPG: 1 
HICP: TV1 - Practice # 10",,,,,,
,Notes,,,,,,,,,,,,,
10,How do you communicate SRA results to personnel involved in responding to identified threats or vulnerabilities?,,,,,,,,,,,,,
,,,Written and verbal communication as well as coordinated corrective action planning.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Written results of the risk assessment should be communicated to the personnel responsible for responding to identified threats and vulnerabilities. The responsible persons should be involved in the creation of corrective action plans to mitigate threats and vulnerabilities for which they are responsible.",1,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1 
HICP: TV1, Practice # 10",,,,,,
,,,Written communication only.,Written results of your SRA should be communicated to the personnel responsible for responding to identified threats and vulnerabilities but also consider involving the personnel responsible for responding to identified threats and vulnerabilities in the creation of corrective action plans.,0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1 
HICP: TV1, Practice # 10",,,,,,
,,,Verbal communication only.,Written results of the risk assessment should be communicated to workforce members who will be responsible for responding to identified threats and vulnerabilities after the completion of the risk assessment. The responsible team members responsible for responding to identified threats and vulnerabilities should be involved in the creation of corrective action plans to mitigate threats and vulnerabilities for which they are responsible.,0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1 
HICP: TV1, Practice # 10",,,,,,
,,,We do not communicate risk assessment results to workforce members.,Written results of the risk assessment should be communicated to workforce members who will be responsible for responding to identified threats and vulnerabilities after the completion of the risk assessment. The responsible team members responsible for responding to identified threats and vulnerabilities should be involved in the creation of corrective action plans to mitigate threats and vulnerabilities for which they are responsible.,0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1 
HICP: TV1, Practice # 10",,,,,,
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: ID.RA, GV.RM, RS.MI 
HPH CPG: 1 
HICP: TV1, Practice # 10",,,,,,
,Notes,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Threats & Vulnerabilities,,,,,,Likelihood,Impact,Risk Score,,,,,,
1,Inadequate risk awareness or failure to identify new weaknesses,,,,,,,,,,,,,
,,,"Non-physical threat(s) such as data corruption or information disclosure, interruption of system function and business processes, and/or legislation or security breaches",,,,,,,,,,,
,,,"Physical threats such as unauthorized facility access, hardware or equipment malfunction, collisions, trip/fire hazards, and/or hazardous materials (chemicals, magnets, etc.)",,,,,,,,,,,
,,,"Natural threat(s) such as damage from dust/particulates, extreme temperatures, severe weather events, and/or destruction from animals/insects",,,,,,,,,,,
,,,"Man-made threat(s) such as insider carelessness, theft/vandalism, terrorism/civil unrest, toxic emissions, or hackers/computer criminals",,,,,,,,,,,
,,,"Infrastructure threat(s) such as building/road hazards, power/telephone outages, water leakage (pipes, roof, sprinkler activation), unstable building conditions ",,,,,,,,,,,
2,Failure to remediate known risk(s),,,,,,,,,,,,,
,,,"Information disclosure (ePHI, proprietary, intellectual, or confidential)",,,,,,,,,,,
,,,Penalties from contractual non-compliance with third-party vendors,,,,,,,,,,,
,,,"Disruption of business processes, information system function, and/or prolonged adversarial presence within information systems",,,,,,,,,,,
,,,Data deletion or corruption of records ,,,,,,,,,,,
,,,"Prolonged exposure to hacker, computer criminal, malicious code, or careless insider ",,,,,,,,,,,
,,,"Corrective enforcement from regulatory agencies (e.g., HHS, OCR, FTC, CMS, State or Local jurisdictions)",,,,,,,,,,,
,,,Hardware/equipment malfunction,,,,,,,,,,,
3,Failure to meet minimum regulatory requirements and security standards,,,,,,,,,,,,,
,,,"Corrective enforcement from regulatory agencies (e.g., HHS, OCR, FTC, CMS, State or Local jurisdictions)",,,,,,,,,,,
,,,Damage to public reputation due to breach,,,,,,,,,,,
,,,Failure to attain incentives or optimize value-based reimbursement,,,,,,,,,,,
,,,Litigation from breach victims due to lack of reasonable and appropriate safeguards,,,,,,,,,,,
4,Inadequate Asset Tracking,,,,,,,,,,,,,
,,,"Information disclosure (ePHI, proprietary, intellectual, or confidential)",,,,,,,,,,,
,,,"Disruption of business processes, information system function, and/or prolonged adversarial presence within information systems",,,,,,,,,,,
,,,Unauthorized use of assets or changes to data within information systems,,,,,,,,,,,
,,,Unauthorized installation of software or applications,,,,,,,,,,,
