Section 5 - Security and the Practice,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,No. We do not have physical protections in place for our electronic devices. ,"Implement physical safeguards for all electronic devices that access electronic protected health information, to restrict access to authorized users. Examples include installation of anti-theft cables, locks on rooms where the devices are located, screen protectors or dividers, and the use of badge readers to monitor access to rooms where devices are located. Document these safeguards in your policies and procedures. A small organization's endpoints must be protected. Endpoints include desktops, laptops, mobile devices, and other connected hardware devices (e.g., printers, medical equipment).",0,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 6"
,,,I don't know.,"Implement physical safeguards for all electronic devices that access electronic protected health information, to restrict access to authorized users. Examples include installation of anti-theft cables, locks on rooms where the devices are located, screen protectors or dividers, and the use of badge readers to monitor access to rooms where devices are located. Document these safeguards in your policies and procedures. A small organization's endpoints must be protected. Endpoints include desktops, laptops, mobile devices, and other connected hardware devices (e.g., printers, medical equipment).",0,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 6"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 6"
,Notes,,,,,,,
6,What physical protections do you have in place for electronic devices with access to ePHI?,,,,,,,
,,,"We have robust procedures for electronic device access control, such as authorization for issuing new electronic device access and removing electronic device access. We also use screen filters, docking stations with locks, and/or cable locks for portable devices, privacy screens (walls or partitions), and/or secured proximity for servers and network equipment. Assessments of physical protections in use are documented.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. For devices that cannot be encrypted or that are managed by a third party, implement physical security controls to minimize theft or unauthorized removal. Examples include installation of anti-theft cables, locks on rooms where the devices are located, and the use of badge readers to monitor access to rooms where devices are located. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network.",1,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 2, 6"
,,,We have limited procedures for electronic device access control including some but not all of those listed above. ,"Consider which physical safeguards to protect access to ePHI can be reasonably and appropriately implemented in your practice. Consider an authorization process for issuing new electronic device access and removing electronic device access, and using screen filters, docking stations with locks, and/or cable locks for portable devices, privacy screens (walls or partitions), and/or secured proximity for servers and network equipment. For devices that cannot be encrypted or that are managed by a third party, implement physical security controls to minimize theft or unauthorized removal. Examples include installation of anti-theft cables, locks on rooms where the devices are located, and the use of badge readers to monitor access to rooms where devices are located. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network.",0,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 2, 6"
,,,We do not have any physical protections in place for electronic device access to ePHI. ,"Consider which physical safeguards to protect access to ePHI can be reasonably and appropriately implemented in your practice. Consider an authorization process for issuing new electronic device access and removing electronic device access, and using screen filters, docking stations with locks, and/or cable locks for portable devices, privacy screens (walls or partitions), and/or secured proximity for servers and network equipment. For devices that cannot be encrypted or that are managed by a third party, implement physical security controls to minimize theft or unauthorized removal. Examples include installation of anti-theft cables, locks on rooms where the devices are located, and the use of badge readers to monitor access to rooms where devices are located. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network.",0,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 2, 6"
,,,I don't know. ,"Consider which physical safeguards to protect access to ePHI can be reasonably and appropriately implemented in your practice. Consider an authorization process for issuing new electronic device access and removing electronic device access, and using screen filters, docking stations with locks, and/or cable locks for portable devices, privacy screens (walls or partitions), and/or secured proximity for servers and network equipment. For devices that cannot be encrypted or that are managed by a third party, implement physical security controls to minimize theft or unauthorized removal. Examples include installation of anti-theft cables, locks on rooms where the devices are located, and the use of badge readers to monitor access to rooms where devices are located. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network.",0,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 2, 6"
,,,Other.,"Consider which physical safeguards to protect access to ePHI can be reasonably and appropriately implemented in your practice. Consider an authorization process for issuing new electronic device access and removing electronic device access, and using screen filters, docking stations with locks, and/or cable locks for portable devices, privacy screens (walls or partitions), and/or secured proximity for servers and network equipment. For devices that cannot be encrypted or that are managed by a third party, implement physical security controls to minimize theft or unauthorized removal. Examples include installation of anti-theft cables, locks on rooms where the devices are located, and the use of badge readers to monitor access to rooms where devices are located. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network.",0,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 2, 6"
