Section 3 - Security & Workforce,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,No. Not all workforce members know who our security officer is. ,"If your workforce members do not know the name and contact information of the security officer, they may not be able to raise security concerns or execute mitigating actions when there are security problems.",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,I don't know. ,"If your workforce members do not know the name and contact information of the security officer, they may not be able to raise security concerns or execute mitigating actions when there are security problems.",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,Notes,,,,,,,
5,Do workforce members know how and when to contact the security officer?,,,,,,,
,,,"Workforce members are made aware of the identity of the security officer and reasons for contacting the security officer as part of their orientation to the practice (upon hire) as well as periodic reminders of our internal policies and procedures (e.g., periodic review).","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,"Information about who the security officer is and when they should be contacted is verbally communicated to workforce members, but this is not a formal process.","If your workforce members do not know the contact information and availability of the security officer, they may not be able to execute immediate and appropriate mitigating actions when there are security problems.",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,We do not have a process to inform workforce members about the identity of the security officer or when the security officer needs to be contacted.,"If your workforce members do not know the contact information and availability of the security officer, they may not be able to execute immediate and appropriate mitigating actions when there are security problems.",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,Notes,,,,,,,
6,Who do people contact for security considerations if there is no security officer available or identified within the organization?,,,,,,,
,,,The practice manager.,"You should identify a member of your workforce to serve as the security official and who will be responsible for the development and implementation of security policies and procedures. If no security officer is available, be sure to outline where and how workforce members should communicate security concerns. Having this identified and outlined in procedures will allow your workforce to be able to execute immediate and appropriate mitigating actions when there are security problems.",1,,N/A,"HIPAA: N/A 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,Information Technology (IT) Manager.,"You should identify a member of your workforce to serve as the security official and who will be responsible for the development and implementation of security policies and procedures. If no security officer is available, be sure to outline where and how workforce members should communicate security concerns. Having this identified and outlined in procedures will allow your workforce to be able to execute immediate and appropriate mitigating actions when there are security problems.",1,,N/A,"HIPAA: N/A 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,Lead physician in the practice.,"You should identify a member of your workforce to serve as the security official and who will be responsible for the development and implementation of security policies and procedures. If no security officer is available, be sure to outline where and how workforce members should communicate security concerns. Having this identified and outlined in procedures will allow your workforce to be able to execute immediate and appropriate mitigating actions when there are security problems.",1,,N/A,"HIPAA: N/A 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,Lead nurse in practice.,"You should identify a member of your workforce to serve as the security official and who will be responsible for the development and implementation of security policies and procedures. If no security officer is available, be sure to outline where and how workforce members should communicate security concerns. Having this identified and outlined in procedures will allow your workforce to be able to execute immediate and appropriate mitigating actions when there are security problems.",1,,N/A,"HIPAA: N/A 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,Lead consultant for the practice.,"You should identify a member of your workforce to serve as the security official and who will be responsible for the development and implementation of security policies and procedures. If no security officer is available, be sure to outline where and how workforce members should communicate security concerns. Having this identified and outlined in procedures will allow your workforce to be able to execute immediate and appropriate mitigating actions when there are security problems.",1,,N/A,"HIPAA: N/A 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,Administrative support for the practice.,"You should identify a member of your workforce to serve as the security official and who will be responsible for the development and implementation of security policies and procedures. If no security officer is available, be sure to outline where and how workforce members should communicate security concerns. Having this identified and outlined in procedures will allow your workforce to be able to execute immediate and appropriate mitigating actions when there are security problems.",1,,N/A,"HIPAA: N/A 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,Other.,"You should identify a member of your workforce to serve as the security official and who will be responsible for the development and implementation of security policies and procedures. If no security officer is available, be sure to outline where and how workforce members should communicate security concerns. Having this identified and outlined in procedures will allow your workforce to be able to execute immediate and appropriate mitigating actions when there are security problems.",0,,N/A,"HIPAA: N/A 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,N/A,"HIPAA: N/A 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
,Notes,,,,,,,
7,How are staff roles and job duties defined with respect to ePHI access?,,,,,,,
,,,"We have written job descriptions, roles, and required qualifications documented for all workforce members with access to ePHI.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Health care organizations of all sizes need to clearly identify all users and maintain audit trails that monitor each user's access to data, applications, systems, and endpoints.",1,,Required,"HIPAA: §164.308(a)(3)(ii)(A) 
NIST CSF: ID.AM, PR.MA, DE.CM, DE.AE, PR.PS 
HPH CPG: 6, 7 
HICP: TV1 - Practice #2, 3"
,,,"We have written job titles, but no written roles or responsibilities for workforce members with access to ePHI.","Consider implementing procedures for the authorization and/or supervision of workforce members who work with ePHI or in locations where it might be accessed. If such procedures are determined to not be reasonable and appropriate, document the reason why and what is being done to compensate for these lack of procedures. Health care organizations of all sizes need to clearly identify all users and maintain audit trails that monitor each user's access to data, applications, systems, and endpoints.",0,,Required,"HIPAA: §164.308(a)(3)(ii)(A) 
NIST CSF: ID.AM, PR.MA, DE.CM, DE.AE, PR.PS 
HPH CPG: 6, 7 
HICP: TV1 - Practice #2, 3"
,,,We do not have written job roles or responsibilities for workforce members with access to ePHI.,"Consider implementing procedures for the authorization and/or supervision of workforce members who work with ePHI or in locations where it might be accessed. If such procedures are determined to not be reasonable and appropriate, document the reason why and what is being done to compensate for these lack of procedures. Health care organizations of all sizes need to clearly identify all users and maintain audit trails that monitor each user's access to data, applications, systems, and endpoints.",0,,Required,"HIPAA: §164.308(a)(3)(ii)(A) 
NIST CSF: ID.AM, PR.MA, DE.CM, DE.AE, PR.PS 
HPH CPG: 6, 7 
HICP: TV1 - Practice #2, 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(3)(ii)(A) 
NIST CSF: ID.AM, PR.MA, DE.CM, DE.AE, PR.PS 
HPH CPG: 6, 7 
HICP: TV1 - Practice #2, 3"
,Notes,,,,,,,
8,"Do you screen your workforce members (e.g., staff, volunteers, interns) with tools like credential verification or background checks to verify trustworthiness?",,,,,,,
,,,Yes.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Addressable,"HIPAA: §164.308(a)(3)(ii)(B) 
NIST CSF: DE.AE, PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: N/A"
,,,No.,"Unqualified or untrustworthy users could access your ePHI if policies and procedures do not require screening workforce members prior to enabling access to facilities, information systems, and ePHI.",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(B) 
NIST CSF: DE.AE, PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: N/A"
,,,I don't know. ,"Unqualified or untrustworthy users could access your ePHI if policies and procedures do not require screening workforce members prior to enabling access to facilities, information systems, and ePHI.",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(B) 
NIST CSF: DE.AE, PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(B) 
NIST CSF: DE.AE, PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: N/A"
,Notes,,,,,,,
9,How are your workforce members screened to verify trustworthiness?,,,,,,,
,,,"Professional references are collected and verified. Criminal background checks are performed in addition to verifying licenses, credentials, certifications, and good standing with relevant agencies (e.g., check workforce members against the List of Excluded Individuals and Entities).","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Addressable,"HIPAA: §164.308(a)(3)(ii)(B) 
NIST CSF: DE.AE, PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: N/A"
,,,"Professional references are collected and verified along with licenses, credentials, and certifications. We do not perform criminal background checks. ",Consider which methods of personnel screening are reasonable and appropriate for your organization in order to verify the trustworthiness of workforce members who will access ePHI.,0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(B) 
NIST CSF: DE.AE, PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: N/A"
,,,We only collect professional references.,Consider which methods of personnel screening are reasonable and appropriate for your organization in order to verify the trustworthiness of workforce members who will access ePHI.,0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(B) 
NIST CSF: DE.AE, PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: N/A"
,,,"We hire through external sources (local school externship or temp agency), and assume their vetting process is sufficient.",Consider which methods of personnel screening are reasonable and appropriate for your organization in order to verify the trustworthiness of workforce members who will access ePHI.,0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(B) 
NIST CSF: DE.AE, PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: N/A"
,,,Other.,Consider which methods of personnel screening are reasonable and appropriate for your organization in order to verify the trustworthiness of workforce members who will access ePHI.,0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(B) 
NIST CSF: DE.AE, PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.308(a)(3)(ii)(B) 
NIST CSF: DE.AE, PR.AA, PR.IR, PR.PS 
HPH CPG: 6 
HICP: N/A"
,Notes,,,,,,,
10,Do you ensure that all workforce members (including management) are given security training?,,,,,,,
,,,"Yes, we ensure all workforce members complete security training on a periodic basis.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Establish and maintain a training program for your workforce that includes a section on phishing attacks. All users in your organization should be able to recognize phishing techniques. Train your workforce to comply with organizational procedures and ONC guidance when transmitting PHI through e-mail. Train staff never to back up data on unapproved storage devices or personal cloud services. Train and regularly remind users that they must never share their passwords. ",1,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT , GV.RM, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 1, 4"
,,,"Yes, we ensure all workforce members complete security training, but this not done periodically.","Provide periodic security trainings to all workforce members. The standard states that periodic security trainings be completed and documented for all workforce members, and the documentation is reviewed by your practice's security officer. Establish and maintain a training program for your workforce that includes a section on phishing attacks. All users in your organization should be able to recognize phishing techniques. Train your workforce to comply with organizational procedures and ONC guidance when transmitting PHI through e-mail. Train staff never to back up data on unapproved storage devices or personal cloud services. Train and regularly remind users that they must never share their passwords. ",0,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT , GV.RM, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 1, 4"
,,,"No, we do not ensure that all workforce members have completed security training or that security training is completed on a periodic basis.","Provide periodic security trainings to all workforce members. The standard states that periodic security trainings be completed and documented for all workforce members, and the documentation is reviewed by your practice's security officer. Establish and maintain a training program for your workforce that includes a section on phishing attacks. All users in your organization should be able to recognize phishing techniques. Train your workforce to comply with organizational procedures and ONC guidance when transmitting PHI through e-mail. Train staff never to back up data on unapproved storage devices or personal cloud services. Train and regularly remind users that they must never share their passwords. ",0,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT , GV.RM, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 1, 4"
,,,I don't know. ,"Provide periodic security trainings to all workforce members. The standard states that periodic security trainings be completed and documented for all workforce members, and the documentation is reviewed by your practice's security officer. Establish and maintain a training program for your workforce that includes a section on phishing attacks. All users in your organization should be able to recognize phishing techniques. Train your workforce to comply with organizational procedures and ONC guidance when transmitting PHI through e-mail. Train staff never to back up data on unapproved storage devices or personal cloud services. Train and regularly remind users that they must never share their passwords. ",0,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT , GV.RM, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 1, 4"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT , GV.RM, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 1, 4"
,Notes,,,,,,,
11,How do you ensure that all workforce members are given security training?,,,,,,,
,,,We keep a list of workforce members who have completed security training. Trainings are provided upon hire and periodically thereafter. The list is reviewed and verified by the security officer.,"This is an effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Train personnel to comply with organizational policies. At minimum, provide annual training on the most important policy considerations, such as the use of encryption, strong passwords, and PHI transmission restrictions. Provide staff with training on and awareness of phishing e-mails. Describe the mechanisms by which the workforce will be trained on cybersecurity practices, threats, and mitigations.",1,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 1, 4, 10"
,,,Our security training is provided by a vendor who keeps record of the trainings completed. The records are reviewed and verified by the security officer. ,"This is an effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Train personnel to comply with organizational policies. At minimum, provide annual training on the most important policy considerations, such as the use of encryption, strong passwords, and PHI transmission restrictions. Provide staff with training on and awareness of phishing e-mails. Describe the mechanisms by which the workforce will be trained on cybersecurity practices, threats, and mitigations.",1,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 1, 4, 10"
,,,"Documentation of security training is maintained in the workforce members' personnel file, but a single comprehensive record is not kept.","Provide training periodically and maintain a comprehensive record of all personnel who have completed training. Have the security officer review the list. Train personnel to comply with organizational policies. At minimum, provide annual training on the most important policy considerations, such as the use of encryption, strong passwords, and PHI transmission restrictions. Provide staff with training on and awareness of phishing e-mails. Describe the mechanisms by which the workforce will be trained on cybersecurity practices, threats, and mitigations.",0,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 1, 4, 10"
,,,We do not maintain records of privacy and security training for our workforce members.,"Provide training periodically and maintain a comprehensive record of all personnel who have completed training. Have the security officer review the list. Train personnel to comply with organizational policies. At minimum, provide annual training on the most important policy considerations, such as the use of encryption, strong passwords, and PHI transmission restrictions. Provide staff with training on and awareness of phishing e-mails. Describe the mechanisms by which the workforce will be trained on cybersecurity practices, threats, and mitigations.",0,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 1, 4, 10"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 1, 4, 10"
,Notes,,,,,,,
12,How long are records of workforce member security training kept? ,,,,,,,
,,,Records documenting the completion of required security trainings are kept for all workforce members (including management) and retained for at least six (6) years after completion of the training.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 4 
HICP: N/A"
,,,Records documenting the completion of required security trainings are kept for all workforce members. Records are only retained for less than six (6) years.,Records documenting the completion of security trainings for all workforce members (including management) should be kept for a minimum of six (6) years. Your state or jurisdiction may have additional requirements beyond six (6) year retention.,0,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 4 
HICP: N/A"
,,,Records documenting the completion of required security training are kept for all workforce members. Records are only kept for the year in which training was completed. ,Records documenting the completion of security trainings for all workforce members (including management) should be kept for a minimum of six (6) years. Your state or jurisdiction may have additional requirements beyond six (6) year retention.,0,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 4 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(5)(i) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 4 
HICP: N/A"
,Notes,,,,,,,
13,Are procedures in place for monitoring log-in attempts and reporting discrepancies?,,,,,,,
,,,"Yes, these procedures identify workforce members' roles and responsibilities, log-in monitoring procedure, how to identify a log-in discrepancy and how to respond to an identified discrepancy. ","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Implement access management procedures to track and monitor user access to computers and programs.",1,,Addressable,"HIPAA: §164.308(a)(5)(ii)(C) 
NIST CSF: DE.AE, DE.CM, RS.CO, PR.AT, PR.PS 
HPH CPG: 18 
HICP: TV1 - Practice #2, 3"
,,,"Yes, we have procedures, but these do not include all of the elements listed above.","Consider revising your procedures to include roles and responsibilities, how to identify a log-in discrepancy, and how to respond to an identified discrepancy. If doing so is determined to not be reasonable and appropriate, document the reason why and what compensating control takes its place. Implement access management procedures to track and monitor user access to computers and programs.",0,,Addressable,"HIPAA: §164.308(a)(5)(ii)(C) 
NIST CSF: DE.AE, DE.CM, RS.CO, PR.AT, PR.PS 
HPH CPG: 18 
HICP: TV1 - Practice #2, 3"
,,,Log-in monitoring tools are available but we do not actively utilize them.,"Consider revising your procedures to include roles and responsibilities, how to identify a log-in discrepancy, and how to respond to an identified discrepancy. If doing so is determined to not be reasonable and appropriate, document the reason why and what compensating control takes its place. Implement access management procedures to track and monitor user access to computers and programs.",0,,Addressable,"HIPAA: §164.308(a)(5)(ii)(C) 
NIST CSF: DE.AE, DE.CM, RS.CO, PR.AT, PR.PS 
HPH CPG: 18 
HICP: TV1 - Practice #2, 3"
,,,"No, our privacy and security procedures do not include log-in monitoring.","Consider revising your procedures to include roles and responsibilities, how to identify a log-in discrepancy, and how to respond to an identified discrepancy. If doing so is determined to not be reasonable and appropriate, document the reason why and what compensating control takes its place. Implement access management procedures to track and monitor user access to computers and programs.",0,,Addressable,"HIPAA: §164.308(a)(5)(ii)(C) 
NIST CSF: DE.AE, DE.CM, RS.CO, PR.AT, PR.PS 
HPH CPG: 18 
HICP: TV1 - Practice #2, 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.308(a)(5)(ii)(C) 
NIST CSF: DE.AE, DE.CM, RS.CO, PR.AT, PR.PS 
HPH CPG: 18 
HICP: TV1 - Practice #2, 3"
,Notes,,,,,,,
14,Is up-to-date malware protection included in your policies and procedures?,,,,,,,
,,,"Yes. Software protection is included in our procedures. This includes a review of our procedures for guarding against malware, and the mechanisms in place for protection, and how procedures for workforce members to follow can help to detect and report malicious software. ","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Anti-malware software is readily available at low cost and is effective at protecting endpoints from computer viruses, malware, spam, and ransomware threats. Each endpoint in your organization should be equipped with malware protection software that is configured to update automatically. For medical devices, the medical device manufacturer should directly support anti-malware software, or it should be cleared for operation by the manufacturer. Ensure that malware protection is enabled. If anti-malware cannot be implemented, compensating controls should enforce a detection scan whenever the device is serviced prior to reconnecting to the device network.",1,,Addressable,"HIPAA: §164.308(a)(5)(ii)(B) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 1, 2 
HICP: TV1 - Practice # 2, 9"
,,,"Yes. Our security procedures include a review of our practice's procedure for guarding against malicious software, but does not cover how workforce members can detect and report malicious software or the protection mechanisms and system capabilities in place for malware protection. ","Consider including software protection in your procedures, such as: 1. What protection mechanisms and system capabilities are in place for protection against malicious software, 2. Workforce members' roles and responsibilities in malicious software protection procedures, 3. Steps to protect against and detect malicious software, and 4. Actions on how to respond to malicious software infections. Anti-malware software is readily available at low cost and is effective at protecting endpoints from computer viruses, malware, spam, and ransomware threats. Each endpoint in your organization should be equipped with malware protection software that is configured to update automatically. For medical devices, the medical device manufacturer should directly support anti-malware software, or it should be cleared for operation by the manufacturer. Ensure that malware protection is enabled. If anti-malware cannot be implemented, compensating controls should enforce a detection scan whenever the device is serviced prior to reconnecting to the device network.",0,,Addressable,"HIPAA: §164.308(a)(5)(ii)(B) 
NIST CSF: PR.AT, PR.PS 
HPH CPG: 1, 2 
HICP: TV1 - Practice # 2, 9"
