Section 4 - Security & Data,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,No. We do not always have alternative safeguards when encryption is not reasonable or appropriate.,"You might not be able to ensure access to ePHI is denied to unauthorized users if you do not use alternative safeguards or methods to control access to ePHI and other health information. Whenever encryption is not reasonable or appropriate, implement and document an alternative safeguard or mechanism to protect your ePHI. For ePHI that is not, or cannot, be encrypted, or that is managed by a third party, implement and document alternate security controls to minimize theft or unauthorized removal. Example controls could include anti-theft cables, locks on rooms where the devices are located, user authorization restrictions, and badge readers to monitor access to rooms where devices are located.",0,,Addressable,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV, PR.DS, PR.PS, ID.RA 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,,,I don't know. ,"You might not be able to ensure access to ePHI is denied to unauthorized users if you do not use alternative safeguards or methods to control access to ePHI and other health information. Whenever encryption is not reasonable or appropriate, implement and document an alternative safeguard or mechanism to protect your ePHI. For ePHI that is not, or cannot, be encrypted, or that is managed by a third party, implement and document alternate security controls to minimize theft or unauthorized removal. Example controls could include anti-theft cables, locks on rooms where the devices are located, user authorization restrictions, and badge readers to monitor access to rooms where devices are located.",0,,Addressable,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV, PR.DS, PR.PS, ID.RA 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,,,"We have encryption in place for some devices and systems which access ePHI, but have not comprehensively evaluated the reasonable and appropriateness to do so for all devices and systems. We do not always have alternative safeguards when encryption is not reasonable and appropriate.","You might not be able to ensure access to ePHI is denied to unauthorized users if you do not use alternative safeguards or methods to control access to ePHI and other health information. Whenever encryption is not reasonable or appropriate, implement and document an alternative safeguard or mechanism to protect your ePHI. For ePHI that is not, or cannot, be encrypted, or that is managed by a third party, implement and document alternate security controls to minimize theft or unauthorized removal. Example controls could include anti-theft cables, locks on rooms where the devices are located, user authorization restrictions, and badge readers to monitor access to rooms where devices are located.",0,,Addressable,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV, PR.DS, PR.PS, ID.RA 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV, PR.DS, PR.PS, ID.RA 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,Notes,,,,,,,
11,"When encryption is deemed unreasonable or inappropriate to implement, do you document the use of an alternative safeguard?",,,,,,,
,,,"Yes. We have policies and procedures to identify encryption capabilities of our devices and information systems. When encryption is not reasonable or appropriate, we implement an alternative safeguard and document it.","The best practice is having policies and procedures to identify the encryption capabilities of your devices and information systems and then documenting when ePHI encryption is not reasonable or appropriate and that you have implemented an alternative safeguard. For devices that cannot be encrypted or that are managed by a third party, implement physical security controls to minimize theft or unauthorized removal. Examples include installation of anti-theft cables, locks on rooms where the devices are located, and the use of badge readers to monitor access to rooms where devices are located.",1,,Addressable,"HIPAA: N/A 
NIST CSF: PR.DS 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,,,No. We do not have policies or procedures to document alternative safeguards as a means of controlling access to ePHI on our devices and information systems.,"The best practice is having policies and procedures to identify the encryption capabilities of your devices and information systems and then documenting when ePHI encryption is not reasonable or appropriate and that you have implemented an alternative safeguard. For devices that cannot be encrypted or that are managed by a third party, implement physical security controls to minimize theft or unauthorized removal. Examples include installation of anti-theft cables, locks on rooms where the devices are located, and the use of badge readers to monitor access to rooms where devices are located.",0,,Addressable,"HIPAA: N/A 
NIST CSF: PR.DS 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,,,I don't know. ,"The best practice is having policies and procedures to identify the encryption capabilities of your devices and information systems and then documenting when ePHI encryption is not reasonable or appropriate and that you have implemented an alternative safeguard. For devices that cannot be encrypted or that are managed by a third party, implement physical security controls to minimize theft or unauthorized removal. Examples include installation of anti-theft cables, locks on rooms where the devices are located, and the use of badge readers to monitor access to rooms where devices are located.",0,,Addressable,"HIPAA: N/A 
NIST CSF: PR.DS 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report.",0,,Addressable,"HIPAA: N/A 
NIST CSF: PR.DS 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,Notes,,,,,,,
12,"Have you evaluated implementing any of the following encryption solutions in your local environment to protect ePHI: full disk encryption, file/folder/volume encryption, database encryption, encryption of thumb drives or other external media (including backup media)?",,,,,,,
,,,"All of the above (and other solutions as applicable) have been identified, assessed if reasonable and appropriate to protect ePHI, and documented.","Encryption in these areas is critical to protecting ePHI in your local environment. Encryption applications prevent hackers from accessing sensitive data, usually by requiring a ""key"" to encrypt and/or decrypt data. Prohibit the use of unencrypted storage, such as thumb drives, mobile phones, or computers. Require encryption of these mobile storage mediums before use. If responses to questions in the tool represent risks in the aggregate, ensure that responses include sufficient detail or that supplemental documentation is maintained supporting aggregate risk determinations.",1,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM, ID.RA, GV.RM 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,,,"Some of the above (and other solutions as applicable) have been identified, assessed if reasonable and appropriate to protect ePHI, and documented.","Consider reviewing and evaluating all the locations where you are processing, storing, or transmitting ePHI and whether it is reasonable to implement encryption. Encryption can help safeguard your ePHI, whether you are transmitting it over the Internet, backing it up on a server, or just carrying a mobile device or your laptop to and from your facility. Encrypting ePHI makes it completely unreadable to anyone but you or its intend recipient. Encryption applications prevent hackers from accessing sensitive data, usually by requiring a ""key"" to encrypt and/or decrypt data. Prohibit the use of unencrypted storage, such as thumb drives, mobile phones, or computers. Require encryption of these mobile storage mediums before use. If responses to questions in the tool represent risks in the aggregate, ensure that responses include sufficient detail or that supplemental documentation is maintained supporting aggregate risk determinations.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM, ID.RA, GV.RM 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,,,None of the above. ,"Consider reviewing and evaluating all the locations where you are processing, storing, or transmitting ePHI and whether it is reasonable to implement encryption. Encryption can help safeguard your ePHI, whether you are transmitting it over the Internet, backing it up on a server, or just carrying a mobile device or your laptop to and from your facility. Encrypting ePHI makes it completely unreadable to anyone but you or its intend recipient. Encryption applications prevent hackers from accessing sensitive data, usually by requiring a ""key"" to encrypt and/or decrypt data. Prohibit the use of unencrypted storage, such as thumb drives, mobile phones, or computers. Require encryption of these mobile storage mediums before use.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM, ID.RA, GV.RM 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,,,I don't know.,"Consider reviewing and evaluating all the locations where you are processing, storing, or transmitting ePHI and whether it is reasonable to implement encryption. Encryption can help safeguard your ePHI, whether you are transmitting it over the Internet, backing it up on a server, or just carrying a mobile device or your laptop to and from your facility. Encrypting ePHI makes it completely unreadable to anyone but you or its intend recipient. Encryption applications prevent hackers from accessing sensitive data, usually by requiring a ""key"" to encrypt and/or decrypt data. Prohibit the use of unencrypted storage, such as thumb drives, mobile phones, or computers. Require encryption of these mobile storage mediums before use.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM, ID.RA, GV.RM 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM, ID.RA, GV.RM 
HPH CPG: 5 
HICP: TV1 - Practice # 2"
,Notes,,,,,,,
13,"Have you evaluated implementing encryption solutions for any of the following cloud services to protect ePHI: email service, file storage, web applications, databases, remote system backups?",,,,,,,
,,,"All of the above (and other solutions as applicable) have been identified, assessed if reasonable and appropriate to protect ePHI, and documented.","Encryption in these areas is critical to protecting ePHI in your cloud environments. Contracts with EHR vendors should include language that requires ePHI to be encrypted both at rest and during transmission between systems. If responses to questions in the tool represent risks in the aggregate, ensure that responses include sufficient detail or that supplemental documentation is maintained supporting aggregate risk determinations.",1,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1"
,,,"Some of the above (and other solutions as applicable) have been identified, assessed if reasonable and appropriate to protect ePHI, and documented.","Consider reviewing and evaluating all the locations where you are processing, storing, or transmitting ePHI and whether it is reasonable to implement encryption. Encryption can help safeguard your ePHI, whether you are transmitting it over the Internet, backing it up on a server, or just carrying a mobile device or your laptop to and from your facility. Encrypting ePHI makes it completely unreadable to anyone but you or its intended recipient. Contracts with EHR vendors should include language that requires ePHI to be encrypted both at rest and during transmission between systems. If responses to questions in the tool represent risks in the aggregate, ensure that responses include sufficient detail or that supplemental documentation is maintained supporting aggregate risk determinations.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1"
,,,None of the above. ,"Consider reviewing and evaluating all the locations where you are processing, storing, or transmitting ePHI and whether it is reasonable to implement encryption. Encryption can help safeguard your ePHI, whether you are transmitting it over the Internet, backing it up on a server, or just carrying a mobile device or your laptop to and from your facility. Encrypting ePHI makes it completely unreadable to anyone but you or its intended recipient. Contracts with EHR vendors should include language that requires ePHI to be encrypted both at rest and during transmission between systems.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1"
,,,Not applicable.,"Consider reviewing and evaluating all the locations where you are processing, storing, or transmitting ePHI and whether it is reasonable to implement encryption. Encryption can help safeguard your ePHI, whether you are transmitting it over the Internet, backing it up on a server, or just carrying a mobile device or your laptop to and from your facility. Encrypting ePHI makes it completely unreadable to anyone but you or its intended recipient. Contracts with EHR vendors should include language that requires ePHI to be encrypted both at rest and during transmission between systems.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1"
,,,I don't know.,"Consider reviewing and evaluating all the locations where you are processing, storing, or transmitting ePHI and whether it is reasonable to implement encryption. Encryption can help safeguard your ePHI, whether you are transmitting it over the Internet, backing it up on a server, or just carrying a mobile device or your laptop to and from your facility. Encrypting ePHI makes it completely unreadable to anyone but you or its intended recipient. Contracts with EHR vendors should include language that requires ePHI to be encrypted both at rest and during transmission between systems.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1"
,Notes,,,,,,,
14,"Have you evaluated implementing any of the following encryption solutions for ePHI in transit: encryption of internet traffic by means of a VPN, web traffic over HTTP encrypted using Transport Layer Security (TLS), or secure file transfer?",,,,,,,
,,,"All of the above (and other solutions as applicable) have been identified, assessed if reasonable and appropriate to protect ePHI, and documented. ","Encryption in these areas is critical to protecting ePHI in transit. At minimum, provide annual training on the most important policy considerations, such as the use of encryption and PHI transmission restrictions. Implement an e-mail encryption module that enables users to securely send e-mails to external recipients or to protect information that should only be seen by authorized individuals. If responses to questions in the tool represent risks in the aggregate, ensure that responses include sufficient detail or that supplemental documentation is maintained supporting aggregate risk determinations.",1,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,"Some of the above (and other solutions as applicable) have been identified, assessed if reasonable and appropriate to protect ePHI, and documented.","Consider reviewing and evaluating all the locations where you are processing, storing, or transmitting ePHI and whether it is reasonable to implement encryption. Encryption can help safeguard your ePHI, whether you are transmitting it over the Internet, backing it up on a server, or just carrying a mobile device or your laptop to and from your facility. Encrypting ePHI makes it completely unreadable to anyone but you or its intended recipient. At minimum, provide annual training on the most important policy considerations, such as the use of encryption and PHI transmission restrictions. Implement an e-mail encryption module that enables users to securely send e-mails to external recipients or to protect information that should only be seen by authorized individuals. If responses to questions in the tool represent risks in the aggregate, ensure that responses include sufficient detail or that supplemental documentation is maintained supporting aggregate risk determinations.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,None of the above. ,"Consider reviewing and evaluating all the locations where you are processing, storing, or transmitting ePHI and whether it is reasonable to implement encryption. Encryption can help safeguard your ePHI, whether you are transmitting it over the Internet, backing it up on a server, or just carrying a mobile device or your laptop to and from your facility. Encrypting ePHI makes it completely unreadable to anyone but you or its intended recipient. At minimum, provide annual training on the most important policy considerations, such as the use of encryption and PHI transmission restrictions. Implement an e-mail encryption module that enables users to securely send e-mails to external recipients or to protect information that should only be seen by authorized individuals.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,I don't know,"Consider reviewing and evaluating all the locations where you are processing, storing, or transmitting ePHI and whether it is reasonable to implement encryption. Encryption can help safeguard your ePHI, whether you are transmitting it over the Internet, backing it up on a server, or just carrying a mobile device or your laptop to and from your facility. Encrypting ePHI makes it completely unreadable to anyone but you or its intended recipient. At minimum, provide annual training on the most important policy considerations, such as the use of encryption and PHI transmission restrictions. Implement an e-mail encryption module that enables users to securely send e-mails to external recipients or to protect information that should only be seen by authorized individuals.",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Addressable,"HIPAA: §164.312(e)(2)(ii) 
NIST CSF: N/A 
HPH CPG: 5 
HICP: TV1 - Practice # 1, 4"
,Notes,,,,,,,
15,Do you periodically review your information systems for how security settings can be implemented to safeguard ePHI?,,,,,,,
,,,Yes. We periodically review our information system and evaluate if additional settings can be implemented to safeguard ePHI and document our security settings. ,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Patching (i.e., regularly updating) systems removes vulnerabilities that can be exploited by attackers. Each patch modifies a software application, rendering it more difficult for hackers to maintain programs that are aligned with the most current version of that software application. Configure endpoints to patch automatically and ensure that third-party applications are patched as soon as possible. Schedule and conduct vulnerability scans on servers and systems under your control to proactively identify technology flaws. Remediate flaws based on the severity of the identified vulnerability. This method is considered an ""unauthenticated scan."" The scanner has no extra sets of privileges to the server. It queries a server based on ports that are active and present for network connectivity. Each server is queried for vulnerabilities based upon the level of sophistication of the software scanner. Conduct web application scanning of internet-facing webservers, such as web-based patient portals. Specialized vulnerability scanners can interrogate running web applications to identify vulnerabilities in the application design. Conduct routine patching of security flaws in servers, applications (including web applications), and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic. Robust patch management processes mitigate vulnerabilities associated with obsolete software versions, which are often easier for hackers to exploit.",1,,Required,"HIPAA: §164.312(a)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS, ID.RA, PR.PS, DE.CM 
HPH CPG: 1, 16, 18, 20 
HICP: TV1 - Practice # 2, 7"
,,,No.,"Consider periodically reviewing the security settings on all systems which process, store, or transmit ePHI for how you can implement mechanisms to protect ePHI. Patching (i.e., regularly updating) systems removes vulnerabilities that can be exploited by attackers. Each patch modifies a software application, rendering it more difficult for hackers to maintain programs that are aligned with the most current version of that software application. Configure endpoints to patch automatically and ensure that third-party applications are patched as soon as possible. Schedule and conduct vulnerability scans on servers and systems under your control to proactively identify technology flaws. Remediate flaws based on the severity of the identified vulnerability. This method is considered an ""unauthenticated scan."" The scanner has no extra sets of privileges to the server. It queries a server based on ports that are active and present for network connectivity. Each server is queried for vulnerabilities based upon the level of sophistication of the software scanner. Conduct web application scanning of internet-facing webservers, such as web-based patient portals. Specialized vulnerability scanners can interrogate running web applications to identify vulnerabilities in the application design. Conduct routine patching of security flaws in servers, applications (including web applications),and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic. Robust patch management processes mitigate vulnerabilities associated with obsolete software versions, which are often easier for hackers to exploit.",0,,Required,"HIPAA: §164.312(a)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS, ID.RA, PR.PS, DE.CM 
HPH CPG: 1, 16, 18, 20 
HICP: TV1 - Practice # 2, 7"
,,,I don't know.,"Consider looking into whether your practice periodically reviews the security settings on all systems which process, store, or transmit ePHI for how you can implement mechanisms to protect ePHI. Patching (i.e., regularly updating) systems removes vulnerabilities that can be exploited by attackers. Each patch modifies a software application, rendering it more difficult for hackers to maintain programs that are aligned with the most current version of that software application. Configure endpoints to patch automatically and ensure that third-party applications are patched as soon as possible. Schedule and conduct vulnerability scans on servers and systems under your control to proactively identify technology flaws. Remediate flaws based on the severity of the identified vulnerability. This method is considered an ""unauthenticated scan."" The scanner has no extra sets of privileges to the server. It queries a server based on ports that are active and present for network connectivity. Each server is queried for vulnerabilities based upon the level of sophistication of the software scanner. Conduct web application scanning of internet-facing webservers, such as web-based patient portals. Specialized vulnerability scanners can interrogate running web applications to identify vulnerabilities in the application design. Conduct routine patching of security flaws in servers, applications (including web applications),and third-party software. Maintain software at least monthly, implementing patches distributed by the vendor community, if patching is not automatic. Robust patch management processes mitigate vulnerabilities associated with obsolete software versions, which are often easier for hackers to exploit.",0,,Required,"HIPAA: §164.312(a)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS, ID.RA, PR.PS, DE.CM 
HPH CPG: 1, 16, 18, 20 
HICP: TV1 - Practice # 2, 7"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(a)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS, ID.RA, PR.PS, DE.CM 
HPH CPG: 1, 16, 18, 20 
HICP: TV1 - Practice # 2, 7"
,Notes,,,,,,,
16,"How are you aware of the security settings for information systems which process, store, or transmit ePHI?",,,,,,,
,,,"All systems which create, receive, maintain, or transmit ePHI (including any firewalls, databases, servers, and networked devices) have been examined to determine how security settings can be implemented to most appropriately protect ePHI.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Vulnerability scans may yield large amounts of data, which organizations urgently need to classify, evaluate, and prioritize to remediate security flaws before an attacker can exploit them.",1,,Required,"HIPAA: §164.312(a)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS, ID.RA, PR.MA, DE.CM 
HPH CPG: 1, 18, 20 
HICP: TV1 - Practice # 7"
,,,We are aware that systems have security settings to protect ePHI but have not reviewed all systems comprehensively.,"Consider reviewing security settings for all systems which process, store, and transmit ePHI. Vulnerability scans may yield large amounts of data, which organizations urgently need to classify, evaluate, and prioritize to remediate security flaws before an attacker can exploit them.",0,,Required,"HIPAA: §164.312(a)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS, ID.RA, PR.MA, DE.CM 
HPH CPG: 1, 18, 20 
HICP: TV1 - Practice # 7"
,,,"We do not have a process to review security settings for information systems which process, store, or transmit ePHI.","If you do not identify the access control security settings necessary for each of your information systems and electronic devices, you are not taking full advantage of the security features available in the hardware and software. Vulnerability scans may yield large amounts of data, which organizations urgently need to classify, evaluate, and prioritize to remediate security flaws before an attacker can exploit them.",0,,Required,"HIPAA: §164.312(a)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS, ID.RA, PR.MA, DE.CM 
HPH CPG: 1, 18, 20 
HICP: TV1 - Practice # 7"
,,,I don't know. ,"If you do not identify the access control security settings necessary for each of your information systems and electronic devices, you are not taking full advantage of the security features available in the hardware and software. Vulnerability scans may yield large amounts of data, which organizations urgently need to classify, evaluate, and prioritize to remediate security flaws before an attacker can exploit them.",0,,Required,"HIPAA: §164.312(a)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS, ID.RA, PR.MA, DE.CM 
HPH CPG: 1, 18, 20 
HICP: TV1 - Practice # 7"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(a)(1) 
NIST CSF: PR.AA, PR.IR, PR.DS, PR.PS, ID.RA, PR.MA, DE.CM 
HPH CPG: 1, 18, 20 
HICP: TV1 - Practice # 7"
,Notes,,,,,,,
17,Do you use security settings and mechanisms to record and examine information system activity?,,,,,,,
,,,Yes and documentation is available of security setting assessments and mechanisms to record and examine information system activity.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. User accounts enable organizations to control and monitor each user's access to and activities on devices, EHRs, e-mail, and other third-party software systems. Frequently reviewing access and activities on all devices that access ePHI allows you to be proactive for potential threats or vulnerabilities that arise. ",1,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, DE.CM 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,No.,"Consider implementing hardware, software, and/or procedural mechanisms to monitor system activity. User accounts enable organizations to control and monitor each user's access. Frequently reviewing access and activities on all devices that access ePHI allows you to be proactive for potential threats or vulnerabilities that arise. ",0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, DE.CM 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,I don't know.,"Consider investigating whether your practice has implemented hardware, software, and/or procedural mechanisms to monitor system activity. Your practice should have system monitoring mechanisms in place where ePHI is accessible. User accounts enable organizations to control and monitor each user's access to and activities on devices, EHRs, e-mail, and other third-party software systems. Frequently reviewing access and activities on all devices that access ePHI allows you to be proactive for potential threats or vulnerabilities that arise. ",0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, DE.CM 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, DE.CM 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
18,What mechanisms are in place to monitor or log system activity?,,,,,,,
,,,"Monitoring of system users, access attempts, and modifications. This includes a date/time stamp.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Implement access management procedures to track and monitor user access to computers and programs. ",1,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,Date/time stamp of system access attempts and modifications only.,Determine the mechanisms available to log and monitor system activity. Make sure a procedure to monitor system activity logs is implemented and documented. Implement access management procedures to track and monitor user access to computers and programs. ,0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,Monitoring of system modifications only.,Determine the mechanisms available to log and monitor system activity. Make sure a procedure to monitor system activity logs is implemented and documented. Implement access management procedures to track and monitor user access to computers and programs. ,0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,Identity of users accessing and modifying within the system.,Determine the mechanisms available to log and monitor system activity. Make sure a procedure to monitor system activity logs is implemented and documented. Implement access management procedures to track and monitor user access to computers and programs. ,0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,None of the above. ,Determine the mechanisms available to log and monitor system activity. Make sure a procedure to monitor system activity logs is implemented and documented. Implement access management procedures to track and monitor user access to computers and programs. ,0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,Other.,Determine the mechanisms available to log and monitor system activity. Make sure a procedure to monitor system activity logs is implemented and documented. Implement access management procedures to track and monitor user access to computers and programs. ,0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,I don't know. ,Determine the mechanisms available to log and monitor system activity. Make sure a procedure to monitor system activity logs is implemented and documented. Implement access management procedures to track and monitor user access to computers and programs. ,0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.312(b) 
NIST CSF: PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
19,How do you monitor or track ePHI system activity?,,,,,,,
,,,"System activity records are reviewed on a regular basis with the results of such reviews documented. The frequency of reviews is documented within our procedures. Results of activity reviews are also maintained, including activities which may prompt further investigation.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Implement access management procedures to track and monitor user access to computers and programs. ",1,,Required,"HIPAA: §164.308(a)(1)(ii)(D) 
NIST CSF: ID.RA, PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,"System activity records are reviewed as needed but not on a regular basis. Results of activity reviews are maintained, including activities which may prompt further investigation.",Ensure your practice is able to detect and prevent security incidents by regularly reviewing system activity information as part of its ongoing operations and following security incidents. Implement access management procedures to track and monitor user access to computers and programs. ,0,,Required,"HIPAA: §164.308(a)(1)(ii)(D) 
NIST CSF: ID.RA, PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,System activity records are reviewed as needed but not on a regular basis. Documentation of activity reviews are not maintained.,Ensure your practice is able to detect and prevent security incidents by regularly reviewing system activity information as part of its ongoing operations and following security incidents. Implement access management procedures to track and monitor user access to computers and programs. ,0,,Required,"HIPAA: §164.308(a)(1)(ii)(D) 
NIST CSF: ID.RA, PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,System activity records are not reviewed as needed or on a regular basis.,Ensure your practice is able to detect and prevent security incidents by regularly reviewing system activity information as part of its ongoing operations and following security incidents. Implement access management procedures to track and monitor user access to computers and programs. ,0,,Required,"HIPAA: §164.308(a)(1)(ii)(D) 
NIST CSF: ID.RA, PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(D) 
NIST CSF: ID.RA, PR.DS, PR.MA, DE.AE, DE.CM, RS.AN 
HPH CPG: 14, 15, 16, 18, 20 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
20,Do you have automatic logoff enabled on devices and platforms accessing ePHI?,,,,,,,
