Section 4 - Security & Data,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,Unauthorized access to information systems or devices,,,,,
,,,Malware installation on information systems or devices,,,,,
,,,Disclosure of passwords and or login information,,,,,
,,,Denial of service (DoS) to critical systems,,,,,
,,,Accidental modification to ePHI,,,,,
,,,Adversary access to unauthorized network segments,,,,,
,,,"Information disclosure or theft (ePHI, proprietary, intellectual, or confidential)",,,,,
,,,Exploitation of unpatched systems and software,,,,,
,,,Unauthorized access to or modification of ePHI/sensitive information,,,,,
9,Inadequate integrity verification of ePHI,,,,,,,
,,,Accidental modification to ePHI,,,,,
,,,Damage to public reputation via misuse of patient chart data,,,,,
,,,Inaccurate information given to patients or providers,,,,,
,,,Unauthorized modification to ePHI,,,,,
10,ePHI in transit lacking encryption,,,,,,,
,,,"Information disclosure or theft (ePHI, proprietary, intellectual, or confidential)",,,,,
,,,Unauthorized access to or modification of ePHI/sensitive information,,,,,
,,,Fines from regulatory enforcement (due to lack of encryption safe harbor),,,,,
