Section 2 - Security Policies,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,Documentation is reviewed with appropriate workforce members upon initial orientation to the practice. Documentation is securely made available to appropriate workforce members in physical or electronic formats and they are verbally instructed as to where it is.,"Review your information security documentation with your appropriate workforce members upon hire and on an ongoing, periodic basis. Make sure workforce members know where to find the documentation for ongoing review. Policies are established first and are then supplemented with procedures that enable the policies to be implemented. Policies describe what is expected, and procedures describe how the expectations are met.",0,,Required,"HIPAA: §164.316(b)(2)(ii) 
NIST CSF: GV.OC, GV.RM, PR.PS, ID.RA 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,Documentation is securely made available to appropriate workforce members in physical or electronic formats and they are verbally instructed as to where it is.,"Review your information security documentation with your appropriate workforce members upon hire and on an ongoing, periodic basis. Make sure workforce members know where to find the documentation for ongoing review. Policies are established first and are then supplemented with procedures that enable the policies to be implemented. Policies describe what is expected, and procedures describe how the expectations are met.",0,,Required,"HIPAA: §164.316(b)(2)(ii) 
NIST CSF: GV.OC, GV.RM, PR.PS, ID.RA 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,Other.,"Review your information security documentation with your appropriate workforce members upon hire and on an ongoing, periodic basis. Make sure workforce members know where to find the documentation for ongoing review. Policies are established first and are then supplemented with procedures that enable the policies to be implemented. Policies describe what is expected, and procedures describe how the expectations are met.",0,,Required,"HIPAA: §164.316(b)(2)(ii) 
NIST CSF: GV.OC, GV.RM, PR.PS, ID.RA 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.316(b)(2)(ii) 
NIST CSF: GV.OC, GV.RM, PR.PS, ID.RA 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,Notes,,,,,,,
,,,,,,,,
Threats & Vulnerabilities,,,,,,Likelihood,Impact,Risk Score
1,Failure to update Policies & Procedures,,,,,,,
,,,Fines/penalties from mandated regulatory requirements,,,,,
,,,Unstructured guidance for daily tasks and duties within workforce,,,,,
2,Failure to share security procedure information with appropriate parties,,,,,,,
,,,Unauthorized access to ePHI or sensitive information permitted,,,,,
,,,Disruption of information system function,,,,,
,,,ePHI accessed by unauthorized entities,,,,,
,,,Insider carelessness causing disruption,,,,,
,,,Insider carelessness exposing ePHI,,,,,
3,Inconsistent/unclear risk management documentation,,,,,,,
,,,Unclear security coordination across workforce ,,,,,
,,,Unstructured guidance for daily tasks and duties,,,,,
4,No risk management documentation (or low retention of documentation),,,,,,,
,,,Fines/penalties from regulatory enforcement,,,,,
,,,Inability of workforce to perform proper security and privacy-related tasks or access procedural documents,,,,,
,,,Unstructured workforce coordination of risk management procedures,,,,,
